Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,0.68136,0.68192,0.68004,0.68122,5625.020008802414,ASK
2021-01-04 00:00:00,0.68115,0.68264,0.6736,0.67605,130583.09003210068,ASK
2021-01-05 00:00:00,0.67601,0.68286,0.67551,0.68189,121858.67983418703,ASK
2021-01-06 00:00:00,0.68185,0.68701,0.68027,0.68649,177563.110124588,ASK
2021-01-07 00:00:00,0.68639,0.6885,0.68334,0.68788,126920.36003398895,ASK
2021-01-08 00:00:00,0.68781,0.68969,0.68593,0.68795,146221.9600777626,ASK
2021-01-10 00:00:00,0.68795,0.68821,0.68481,0.68539,5114.3199926018715,ASK
2021-01-11 00:00:00,0.68539,0.68746,0.68353,0.68582,118906.26001930237,ASK
2021-01-12 00:00:00,0.6858,0.68969,0.68536,0.68922,111595.99988985062,ASK
2021-01-13 00:00:00,0.6891,0.68952,0.6859,0.68736,104988.46988636255,ASK
2021-01-14 00:00:00,0.68733,0.69172,0.68714,0.69087,113399.02981328964,ASK
2021-01-15 00:00:00,0.69086,0.69145,0.68345,0.68702,104470.01990652084,ASK
2021-01-17 00:00:00,0.68702,0.68729,0.68558,0.68616,4702.290016412735,ASK
2021-01-18 00:00:00,0.68585,0.68636,0.68287,0.68478,97344.74000585079,ASK
2021-01-19 00:00:00,0.68477,0.68759,0.68343,0.68517,96268.14012604952,ASK
2021-01-20 00:00:00,0.68511,0.69053,0.68401,0.6898,100592.77001214027,ASK
2021-01-21 00:00:00,0.68978,0.69117,0.68644,0.68716,99813.25000059605,ASK
2021-01-22 00:00:00,0.68716,0.68765,0.68192,0.68325,98648.16997134686,ASK
2021-01-24 00:00:00,0.68325,0.68426,0.68261,0.68324,4874.510010302067,ASK
2021-01-25 00:00:00,0.68318,0.68607,0.68313,0.6853,113807.33996212482,ASK
2021-01-26 00:00:00,0.68525,0.68783,0.68215,0.68754,97377.49994140863,ASK
2021-01-27 00:00:00,0.68751,0.6879,0.67997,0.68028,156690.92988872528,ASK
2021-01-28 00:00:00,0.68025,0.68336,0.67545,0.68173,159197.8099320531,ASK
2021-01-29 00:00:00,0.68171,0.68404,0.6793,0.68122,171756.98015928268,ASK
2021-01-31 00:00:00,0.68122,0.68122,0.67841,0.67953,7267.600000619888,ASK
2021-02-01 00:00:00,0.67949,0.68543,0.67946,0.68451,132349.33998441696,ASK
2021-02-02 00:00:00,0.68448,0.68643,0.6803,0.68327,120048.10006892681,ASK
2021-02-03 00:00:00,0.6831,0.68616,0.68255,0.68622,98622.39988946915,ASK
2021-02-04 00:00:00,0.68616,0.68862,0.68559,0.68731,98663.78991246223,ASK
2021-02-05 00:00:00,0.68721,0.69068,0.68598,0.69068,94556.25994074345,ASK
2021-02-07 00:00:00,0.69068,0.69096,0.68963,0.69047,5853.8599933981895,ASK
2021-02-08 00:00:00,0.69049,0.69349,0.68949,0.69285,75768.28001499176,ASK
2021-02-09 00:00:00,0.69282,0.69332,0.68921,0.69097,86108.02999997139,ASK
2021-02-10 00:00:00,0.69097,0.6909,0.68716,0.68774,96646.84985580295,ASK
2021-02-11 00:00:00,0.68772,0.69151,0.68695,0.69021,70586.05008041859,ASK
2021-02-12 00:00:00,0.69009,0.69248,0.68867,0.69237,64251.01997470856,ASK
2021-02-14 00:00:00,0.69237,0.69338,0.69201,0.69256,5476.679979324341,ASK
2021-02-15 00:00:00,0.6925,0.69391,0.6919,0.69294,57047.30003261566,ASK
2021-02-16 00:00:00,0.69295,0.69376,0.69083,0.69134,96990.50991356373,ASK
2021-02-17 00:00:00,0.69133,0.69725,0.69122,0.69726,101035.38009524345,ASK
2021-02-18 00:00:00,0.69718,0.69819,0.69413,0.69616,96289.7600325346,ASK
2021-02-19 00:00:00,0.69615,0.70593,0.6957,0.70593,94397.4300172329,ASK
2021-02-21 00:00:00,0.70593,0.70763,0.70544,0.70728,4899.6099853515625,ASK
2021-02-22 00:00:00,0.70705,0.71013,0.70637,0.70914,108646.72012406588,ASK
2021-02-23 00:00:00,0.70911,0.71678,0.70832,0.71601,105665.19994330406,ASK
2021-02-24 00:00:00,0.71596,0.72342,0.71591,0.72344,136498.1700924039,ASK
2021-02-25 00:00:00,0.72336,0.7258,0.71202,0.71246,167823.49005889893,ASK
2021-02-26 00:00:00,0.71224,0.7129,0.69967,0.70053,221840.78992938995,ASK
2021-02-28 00:00:00,0.70053,0.70426,0.70053,0.70363,6122.750035941601,ASK
2021-03-01 00:00:00,0.70357,0.71247,0.70269,0.71138,149602.2399878502,ASK
2021-03-02 00:00:00,0.71132,0.71692,0.70856,0.71622,146151.7000632286,ASK
2021-03-03 00:00:00,0.71612,0.71779,0.71331,0.71372,153922.64006185532,ASK
2021-03-04 00:00:00,0.71343,0.72287,0.71342,0.71706,210846.69007986784,ASK
2021-03-05 00:00:00,0.71698,0.71784,0.70887,0.71565,212277.44997501373,ASK
2021-03-07 00:00:00,0.71565,0.71818,0.71527,0.71715,6820.340051174164,ASK
2021-03-08 00:00:00,0.71706,0.7188,0.71349,0.71682,178831.160251379,ASK
2021-03-09 00:00:00,0.7168,0.71979,0.71458,0.71635,162793.49996566772,ASK
2021-03-10 00:00:00,0.71625,0.72014,0.71363,0.71897,151186.87993627042,ASK
2021-03-11 00:00:00,0.71896,0.72244,0.71786,0.72017,123118.63006067276,ASK
2021-03-12 00:00:00,0.7201,0.72213,0.71889,0.72213,139386.16991567612,ASK
2021-03-14 00:00:00,0.72213,0.72215,0.72008,0.72164,11377.699996471405,ASK
2021-03-15 00:00:00,0.72157,0.72176,0.7164,0.7189,129065.57017087936,ASK
2021-03-16 00:00:00,0.71891,0.71897,0.71497,0.71662,108943.43995773792,ASK
2021-03-17 00:00:00,0.7166,0.72077,0.71453,0.72079,125770.43991947174,ASK
2021-03-18 00:00:00,0.7208,0.72416,0.71906,0.71914,168223.03013759851,ASK
2021-03-19 00:00:00,0.71905,0.72111,0.71717,0.71965,127604.24995088577,ASK
2021-03-21 00:00:00,0.71965,0.71965,0.71755,0.71838,5054.009988427162,ASK
2021-03-22 00:00:00,0.71832,0.71905,0.71418,0.71529,96424.95003628731,ASK
2021-03-23 00:00:00,0.71523,0.71721,0.70958,0.71099,112161.93982195854,ASK
2021-03-24 00:00:00,0.71092,0.71375,0.70899,0.71063,108597.23994499445,ASK
2021-03-25 00:00:00,0.71062,0.71373,0.70994,0.71356,117874.13002634048,ASK
2021-03-26 00:00:00,0.7135,0.71817,0.71302,0.71817,91041.63993167877,ASK
2021-03-28 00:00:00,0.71817,0.71865,0.71693,0.71769,3978.89000749588,ASK
2021-03-29 00:00:00,0.71766,0.71954,0.71556,0.71741,91872.04999399185,ASK
2021-03-30 00:00:00,0.71739,0.71985,0.71479,0.71678,95709.1800622344,ASK
2021-03-31 00:00:00,0.7167,0.71896,0.71635,0.71692,103168.92010205984,ASK
2021-04-01 00:00:00,0.7169,0.71866,0.71243,0.71775,113127.63991576433,ASK
2021-04-02 00:00:00,0.71774,0.72034,0.71584,0.72025,39837.53999941796,ASK
2021-04-04 00:00:00,0.72025,0.72025,0.71717,0.71806,4672.699997842312,ASK
2021-04-05 00:00:00,0.71793,0.71914,0.71616,0.7169,62728.489954829216,ASK
2021-04-06 00:00:00,0.71686,0.71767,0.71289,0.71373,81781.05995500088,ASK
2021-04-07 00:00:00,0.71372,0.71443,0.70678,0.70773,89889.26988363266,ASK
2021-04-08 00:00:00,0.70774,0.71013,0.70626,0.70779,73389.02986824512,ASK
2021-04-09 00:00:00,0.70773,0.70793,0.70225,0.70463,79120.00003635883,ASK
2021-04-11 00:00:00,0.70463,0.70825,0.70463,0.70568,3306.769998192787,ASK
2021-04-12 00:00:00,0.70563,0.70572,0.70234,0.70368,72640.13993219286,ASK
2021-04-13 00:00:00,0.70361,0.70535,0.70193,0.70387,88634.19991838932,ASK
2021-04-14 00:00:00,0.70387,0.71411,0.70267,0.71297,87579.96975213289,ASK
2021-04-15 00:00:00,0.71287,0.71653,0.71186,0.71474,90730.96998882294,ASK
2021-04-19 00:00:00,0.71018,0.71275,0.70929,0.71057,86891.87981885672,ASK
2021-04-20 00:00:00,0.71055,0.71443,0.70667,0.70756,91357.26992309093,ASK
2021-04-21 00:00:00,0.70751,0.71185,0.70629,0.71101,87443.57996994257,ASK
2021-04-22 00:00:00,0.71095,0.71164,0.70623,0.70671,95995.27988803387,ASK
2021-04-23 00:00:00,0.70671,0.70963,0.70635,0.70829,73847.11000800133,ASK
2021-04-25 00:00:00,0.70829,0.70963,0.70775,0.70786,2692.4800030589104,ASK
2021-04-26 00:00:00,0.70778,0.71473,0.70761,0.7133,78567.22997170687,ASK
2021-04-27 00:00:00,0.71327,0.71415,0.7088,0.71013,78135.33991330862,ASK
2021-04-28 00:00:00,0.71009,0.71039,0.70696,0.70918,97929.5100479126,ASK
2021-04-29 00:00:00,0.7092,0.71022,0.70519,0.70703,93488.99995583296,ASK
2021-04-30 00:00:00,0.70702,0.70769,0.70329,0.70449,91226.72981095314,ASK
2021-05-02 00:00:00,0.70449,0.70637,0.70416,0.7049,2784.209996819496,ASK
2021-05-03 00:00:00,0.70488,0.70823,0.7043,0.70736,79176.37983477116,ASK
2021-05-04 00:00:00,0.70733,0.70873,0.70147,0.70488,102787.01985430717,ASK
2021-05-05 00:00:00,0.70485,0.70907,0.70465,0.70799,80150.64997088909,ASK
2021-05-06 00:00:00,0.70787,0.70884,0.70347,0.70691,97015.95987045765,ASK
2021-05-07 00:00:00,0.70686,0.70853,0.70416,0.70673,98079.88018894196,ASK
2021-05-09 00:00:00,0.70673,0.70978,0.70673,0.7078,8053.420039057732,ASK
2021-05-10 00:00:00,0.70771,0.70994,0.70555,0.7062,89606.69002312422,ASK
2021-05-11 00:00:00,0.70617,0.70942,0.70462,0.70871,111466.03003489971,ASK
2021-05-12 00:00:00,0.70849,0.70885,0.70134,0.70288,134493.78004175425,ASK
2021-05-13 00:00:00,0.70286,0.70344,0.69846,0.70002,124010.82993197441,ASK
2021-05-14 00:00:00,0.6999,0.70268,0.69786,0.70201,92626.0998532772,ASK
2021-05-16 00:00:00,0.70201,0.70206,0.70096,0.70129,2813.5699914097786,ASK
2021-05-17 00:00:00,0.70124,0.70234,0.6976,0.70234,85840.28997278214,ASK
2021-05-18 00:00:00,0.70233,0.7034,0.6983,0.69913,86377.00995069742,ASK
2021-05-19 00:00:00,0.6991,0.69979,0.69685,0.69816,128446.17985701561,ASK
2021-05-20 00:00:00,0.69803,0.70103,0.69728,0.69752,88300.749833107,ASK
2021-05-21 00:00:00,0.69745,0.6987,0.69346,0.69461,84815.04001736641,ASK
2021-05-23 00:00:00,0.69461,0.69572,0.69339,0.6935,2837.1299998760223,ASK
2021-05-24 00:00:00,0.69341,0.69706,0.69263,0.69545,76834.07003281265,ASK
2021-05-25 00:00:00,0.69531,0.6961,0.69359,0.69424,90402.4099894762,ASK
2021-05-26 00:00:00,0.69423,0.69744,0.69352,0.69496,87718.96997761726,ASK
2021-05-27 00:00:00,0.69494,0.69735,0.69343,0.69468,86677.50998163223,ASK
2021-05-28 00:00:00,0.69466,0.69559,0.69296,0.69438,80053.80984699726,ASK
2021-05-30 00:00:00,0.69438,0.69621,0.69364,0.69396,3868.8499771356583,ASK
