Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,79.491,79.683,79.406,79.629,8958.79004573822,ASK
2021-01-04 00:00:00,79.622,79.61,78.853,79.109,187055.03998184204,ASK
2021-01-05 00:00:00,79.106,79.833,79.047,79.722,182122.5197649002,ASK
2021-01-06 00:00:00,79.717,80.556,79.535,80.539,273709.1701076031,ASK
2021-01-07 00:00:00,80.527,80.688,80.168,80.657,200014.85995990038,ASK
2021-01-08 00:00:00,80.65,80.918,80.388,80.744,235107.51992416382,ASK
2021-01-10 00:00:00,80.744,80.744,80.278,80.372,9391.639935016632,ASK
2021-01-11 00:00:00,80.365,80.445,79.998,80.271,181489.24003839493,ASK
2021-01-12 00:00:00,80.265,80.733,80.184,80.68,171651.81001901627,ASK
2021-01-13 00:00:00,80.672,80.681,80.269,80.439,160811.43007731438,ASK
2021-01-14 00:00:00,80.435,80.852,80.407,80.75,172570.92991262674,ASK
2021-01-15 00:00:00,80.743,80.793,79.722,80.079,174375.4002752304,ASK
2021-01-17 00:00:00,80.079,80.087,79.847,79.899,6853.869960665703,ASK
2021-01-18 00:00:00,79.846,79.912,79.514,79.703,149399.36991677433,ASK
2021-01-19 00:00:00,79.702,80.303,79.694,80.151,154469.01988053322,ASK
2021-01-20 00:00:00,80.147,80.379,79.982,80.314,152586.59006685019,ASK
2021-01-21 00:00:00,80.313,80.517,80.193,80.33,154011.4898736477,ASK
2021-01-22 00:00:00,80.323,80.445,79.906,80.081,156485.42962789536,ASK
2021-01-24 00:00:00,80.081,80.14,80.018,80.073,5777.289963245392,ASK
2021-01-25 00:00:00,80.06,80.341,79.764,80.06,179986.65028738976,ASK
2021-01-26 00:00:00,80.056,80.357,79.61,80.333,146138.94992542267,ASK
2021-01-27 00:00:00,80.327,80.41,79.599,79.663,219603.2197957039,ASK
2021-01-28 00:00:00,79.657,80.233,79.206,80.015,238640.54013681412,ASK
2021-01-29 00:00:00,80.01,80.637,79.811,80.069,252219.3896932602,ASK
2021-01-31 00:00:00,80.069,80.069,79.697,79.811,10744.709993720055,ASK
2021-02-01 00:00:00,79.809,80.209,79.793,80.07,186581.81978821754,ASK
2021-02-02 00:00:00,80.066,80.359,79.543,79.911,176499.63995981216,ASK
2021-02-03 00:00:00,79.889,80.18,79.83,80.191,143975.00970602036,ASK
2021-02-04 00:00:00,80.181,80.333,80.049,80.253,144832.6398882866,ASK
2021-02-05 00:00:00,80.244,80.933,80.043,80.933,150417.39007520676,ASK
2021-02-07 00:00:00,80.933,80.955,80.803,80.934,8344.93000280857,ASK
2021-02-08 00:00:00,80.933,81.19,80.835,81.11,117230.17987591028,ASK
2021-02-09 00:00:00,81.105,81.155,80.649,80.953,125476.279910326,ASK
2021-02-10 00:00:00,80.951,81.094,80.756,80.816,144640.58995682,ASK
2021-02-11 00:00:00,80.809,81.37,80.677,81.214,110956.25999069214,ASK
2021-02-12 00:00:00,81.204,81.484,81.089,81.441,102585.6300315857,ASK
2021-02-14 00:00:00,81.441,81.585,81.441,81.578,8188.809998989105,ASK
2021-02-15 00:00:00,81.564,82.089,81.514,82.044,97427.51988339424,ASK
2021-02-16 00:00:00,82.04,82.408,81.884,82.104,152807.20997035503,ASK
2021-02-17 00:00:00,82.091,82.275,81.763,82.138,160229.29000544548,ASK
2021-02-18 00:00:00,82.122,82.303,81.829,82.079,163095.08001315594,ASK
2021-02-19 00:00:00,82.078,83.154,81.994,83.005,142206.26002073288,ASK
2021-02-21 00:00:00,83.005,83.258,82.974,83.223,7661.1500248909,ASK
2021-02-22 00:00:00,83.19,83.408,82.992,83.115,169276.71970510483,ASK
2021-02-23 00:00:00,83.108,83.368,82.917,83.27,166359.99997627735,ASK
2021-02-24 00:00:00,83.262,84.531,83.244,84.533,187938.66991198063,ASK
2021-02-25 00:00:00,84.513,84.945,83.512,83.677,232380.95982533693,ASK
2021-02-26 00:00:00,83.656,83.745,81.988,82.15,263898.02984046936,ASK
2021-02-28 00:00:00,82.15,82.636,82.13,82.574,8014.38001036644,ASK
2021-03-01 00:00:00,82.557,83.132,82.418,83.063,189160.7199987322,ASK
2021-03-02 00:00:00,83.055,83.635,82.63,83.539,193947.20996308327,ASK
2021-03-03 00:00:00,83.535,83.753,83.013,83.053,192305.62999391556,ASK
2021-03-04 00:00:00,83.014,84.042,83.012,83.292,243206.67004036903,ASK
2021-03-05 00:00:00,83.274,83.586,82.785,83.301,248705.8702030182,ASK
2021-03-07 00:00:00,83.301,83.73,83.301,83.575,8868.529998376966,ASK
2021-03-08 00:00:00,83.562,83.616,82.932,83.405,220617.62992444634,ASK
2021-03-09 00:00:00,83.394,83.909,83.179,83.789,198450.78992152214,ASK
2021-03-10 00:00:00,83.773,83.934,83.484,83.84,182850.87036800385,ASK
2021-03-11 00:00:00,83.839,84.566,83.794,84.545,160978.1899486184,ASK
2021-03-12 00:00:00,84.531,84.776,84.215,84.668,179120.670024395,ASK
2021-03-14 00:00:00,84.668,84.715,84.508,84.706,10114.06003332138,ASK
