Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,1.07129,1.07193,1.0702,1.07175,8432.979926109314,ASK
2021-01-04 00:00:00,1.07175,1.07214,1.06704,1.06865,145984.41020059586,ASK
2021-01-05 00:00:00,1.06857,1.07199,1.06717,1.07024,156345.66029453278,ASK
2021-01-06 00:00:00,1.07019,1.07074,1.06816,1.07019,211761.31009721756,ASK
2021-01-07 00:00:00,1.07012,1.07142,1.0674,1.06951,149426.87989854813,ASK
2021-01-08 00:00:00,1.06939,1.07367,1.06882,1.07367,186149.23007440567,ASK
2021-01-10 00:00:00,1.07367,1.0744,1.07178,1.07239,6733.950009942055,ASK
2021-01-11 00:00:00,1.07232,1.07512,1.07058,1.07453,144909.15018582344,ASK
2021-01-12 00:00:00,1.07446,1.07765,1.0735,1.07584,128709.99995732307,ASK
2021-01-13 00:00:00,1.07581,1.0784,1.07375,1.07753,116666.05990886688,ASK
2021-01-14 00:00:00,1.07748,1.07963,1.07631,1.07758,122991.1203866005,ASK
2021-01-15 00:00:00,1.07749,1.081,1.07676,1.081,145263.69021511078,ASK
2021-01-17 00:00:00,1.081,1.081,1.07918,1.07991,4385.090019464493,ASK
2021-01-18 00:00:00,1.07958,1.08102,1.07858,1.08019,90264.52006721497,ASK
2021-01-19 00:00:00,1.08016,1.08429,1.07954,1.08207,116638.24977308512,ASK
2021-01-20 00:00:00,1.08202,1.08402,1.07899,1.07953,123444.60991108418,ASK
2021-01-21 00:00:00,1.0795,1.08017,1.07522,1.07578,116797.73000192642,ASK
2021-01-22 00:00:00,1.07577,1.07699,1.0736,1.07495,131882.07987332344,ASK
2021-01-24 00:00:00,1.07495,1.07547,1.0742,1.07445,4142.190006732941,ASK
2021-01-25 00:00:00,1.07442,1.07494,1.06981,1.07176,136979.3897126913,ASK
2021-01-26 00:00:00,1.0717,1.07231,1.06826,1.07143,115412.17987072468,ASK
2021-01-27 00:00:00,1.07127,1.07159,1.06827,1.07116,184405.40993762016,ASK
2021-01-28 00:00:00,1.07106,1.07131,1.06737,1.06939,174409.64988541603,ASK
2021-01-29 00:00:00,1.06938,1.07039,1.06332,1.0647,193328.79024600983,ASK
2021-01-31 00:00:00,1.0647,1.06589,1.06341,1.06395,7432.710047245026,ASK
2021-02-01 00:00:00,1.06383,1.06634,1.06244,1.06561,158160.2600544691,ASK
2021-02-02 00:00:00,1.0656,1.0678,1.05637,1.05754,147483.29000878334,ASK
2021-02-03 00:00:00,1.05752,1.05966,1.05417,1.05761,129866.44002389908,ASK
2021-02-04 00:00:00,1.05742,1.06276,1.05675,1.06194,113496.32018518448,ASK
2021-02-05 00:00:00,1.06182,1.0662,1.06138,1.0662,108468.11005935818,ASK
2021-02-07 00:00:00,1.0662,1.06693,1.06489,1.06496,6080.4999940395355,ASK
2021-02-08 00:00:00,1.06496,1.06753,1.06467,1.06674,97462.35005295277,ASK
2021-02-09 00:00:00,1.06675,1.06913,1.06538,1.06903,108176.22993326187,ASK
2021-02-10 00:00:00,1.06898,1.07274,1.06894,1.07023,117173.19990181923,ASK
2021-02-11 00:00:00,1.07021,1.07314,1.07014,1.07214,87561.50999593735,ASK
2021-02-12 00:00:00,1.07212,1.07596,1.07204,1.07484,70477.90993118286,ASK
2021-02-14 00:00:00,1.07484,1.07785,1.07484,1.07571,4488.439998745918,ASK
2021-02-15 00:00:00,1.07557,1.07708,1.07395,1.07659,61221.119899988174,ASK
