Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,0.76952,0.77144,0.76918,0.77128,6033.979967981577,ASK
2021-01-04 00:00:00,0.7712,0.77408,0.76428,0.76707,126284.73988771439,ASK
2021-01-05 00:00:00,0.76704,0.77774,0.76616,0.77642,131803.74995291233,ASK
2021-01-06 00:00:00,0.77632,0.78193,0.77338,0.78171,197803.11974895,ASK
2021-01-07 00:00:00,0.78165,0.78153,0.77261,0.77705,138900.2500540018,ASK
2021-01-08 00:00:00,0.77695,0.77981,0.77289,0.7767,175038.58989477158,ASK
2021-01-10 00:00:00,0.7767,0.77676,0.77124,0.77219,6911.539996743202,ASK
2021-01-11 00:00:00,0.77217,0.77314,0.76664,0.7708,136771.64986538887,ASK
2021-01-12 00:00:00,0.77076,0.77778,0.76873,0.77772,117678.63979542255,ASK
2021-01-13 00:00:00,0.77761,0.77814,0.77221,0.77477,104718.73008728027,ASK
2021-01-14 00:00:00,0.77473,0.78042,0.77292,0.77769,108115.12995111942,ASK
2021-01-15 00:00:00,0.7776,0.77889,0.7682,0.77046,123710.6100282669,ASK
2021-01-17 00:00:00,0.77046,0.7711,0.76836,0.76893,4543.109994113445,ASK
2021-01-18 00:00:00,0.76839,0.77037,0.76596,0.76857,96706.26996564865,ASK
2021-01-19 00:00:00,0.76856,0.77248,0.76853,0.77144,99412.99012947083,ASK
2021-01-20 00:00:00,0.77139,0.77637,0.7701,0.77557,103145.20985615253,ASK
2021-01-21 00:00:00,0.77556,0.77822,0.7742,0.77605,106449.4701334238,ASK
2021-01-22 00:00:00,0.77603,0.77697,0.77026,0.77175,108722.92005181313,ASK
2021-01-24 00:00:00,0.77175,0.77211,0.77084,0.77155,4339.349993348122,ASK
2021-01-25 00:00:00,0.77142,0.77476,0.76831,0.77156,125026.92996871471,ASK
2021-01-26 00:00:00,0.77153,0.77543,0.76695,0.7754,103778.21998739243,ASK
2021-01-27 00:00:00,0.77538,0.7761,0.76417,0.76496,171222.90019655228,ASK
2021-01-28 00:00:00,0.7649,0.76981,0.75925,0.76714,182736.38009917736,ASK
2021-01-29 00:00:00,0.76712,0.77045,0.76319,0.76478,201945.8701324463,ASK
2021-01-31 00:00:00,0.76478,0.76478,0.76066,0.76217,9406.459973573685,ASK
2021-02-01 00:00:00,0.76214,0.76631,0.76127,0.76342,151723.04000115395,ASK
2021-02-02 00:00:00,0.7634,0.7661,0.75643,0.76088,133126.59000241756,ASK
2021-02-03 00:00:00,0.76064,0.76368,0.76021,0.76377,108078.8498609066,ASK
2021-02-04 00:00:00,0.76369,0.76481,0.75887,0.76018,102081.50994646549,ASK
2021-02-05 00:00:00,0.76008,0.76799,0.75834,0.76799,98947.98996591568,ASK
2021-02-07 00:00:00,0.76799,0.7682,0.76681,0.7679,5612.7600056529045,ASK
2021-02-08 00:00:00,0.76792,0.77148,0.76518,0.77089,74430.05995333195,ASK
2021-02-09 00:00:00,0.77087,0.77426,0.77046,0.77406,85825.38996529579,ASK
2021-02-10 00:00:00,0.77405,0.77554,0.7718,0.77247,102120.15991926193,ASK
2021-02-11 00:00:00,0.77243,0.77718,0.77134,0.77536,74136.0200534463,ASK
2021-02-12 00:00:00,0.77524,0.77647,0.77187,0.77634,60379.89993143082,ASK
2021-02-14 00:00:00,0.77634,0.77682,0.77611,0.77645,3854.8499834537506,ASK
2021-02-15 00:00:00,0.77634,0.77891,0.776,0.77859,49498.41991555691,ASK
2021-02-16 00:00:00,0.77859,0.78055,0.77309,0.77374,88080.13998818398,ASK
2021-02-17 00:00:00,0.77361,0.777,0.77249,0.77591,98120.81002378464,ASK
2021-02-18 00:00:00,0.77582,0.77901,0.77316,0.77687,96682.4501953125,ASK
2021-02-19 00:00:00,0.77688,0.78768,0.77581,0.78737,88062.55988168716,ASK
2021-02-21 00:00:00,0.78737,0.78909,0.78677,0.78869,4123.490022659302,ASK
2021-02-22 00:00:00,0.78829,0.79298,0.78557,0.79154,101833.49013784528,ASK
2021-02-23 00:00:00,0.79148,0.79349,0.78807,0.79089,101842.2198780179,ASK
2021-02-24 00:00:00,0.79074,0.79785,0.78957,0.79785,122722.97976636887,ASK
2021-02-25 00:00:00,0.79767,0.80074,0.78591,0.78657,160108.11981666088,ASK
2021-02-26 00:00:00,0.78632,0.78711,0.76929,0.77104,217125.56008338928,ASK
2021-02-28 00:00:00,0.77104,0.77592,0.77104,0.77541,6926.4999967217445,ASK
2021-03-01 00:00:00,0.77536,0.77865,0.77222,0.77738,128524.09012296796,ASK
2021-03-02 00:00:00,0.77737,0.78377,0.77361,0.78252,131635.79981637,ASK
2021-03-03 00:00:00,0.78248,0.78377,0.77533,0.77575,136636.1998486519,ASK
2021-03-04 00:00:00,0.77535,0.78153,0.77049,0.7715,181831.4101625234,ASK
2021-03-05 00:00:00,0.77145,0.7726,0.76224,0.7683,186418.39982056618,ASK
2021-03-07 00:00:00,0.7683,0.77213,0.7683,0.77089,6606.160035133362,ASK
2021-03-08 00:00:00,0.77085,0.77144,0.76367,0.76564,166753.95001408458,ASK
2021-03-09 00:00:00,0.76561,0.77257,0.76221,0.77175,141831.47997283936,ASK
2021-03-10 00:00:00,0.77156,0.77437,0.76692,0.7731,126673.99998569489,ASK
2021-03-11 00:00:00,0.77309,0.77942,0.77237,0.77866,99175.82990682125,ASK
2021-03-12 00:00:00,0.77859,0.78,0.77248,0.77605,117097.72994375229,ASK
2021-03-14 00:00:00,0.77605,0.77633,0.77489,0.77635,6468.200028538704,ASK
2021-03-15 00:00:00,0.77627,0.77744,0.77063,0.77486,101434.25003921986,ASK
2021-03-16 00:00:00,0.77484,0.77567,0.77112,0.77468,95334.93998372555,ASK
2021-03-17 00:00:00,0.77466,0.78152,0.76998,0.78152,117712.6199502945,ASK
2021-03-18 00:00:00,0.78152,0.78493,0.77498,0.77546,147144.18006175756,ASK
2021-03-19 00:00:00,0.7753,0.77727,0.77181,0.77446,122811.98014426231,ASK
2021-03-21 00:00:00,0.77446,0.77446,0.77067,0.77237,5428.010012388229,ASK
2021-03-22 00:00:00,0.77232,0.77567,0.77053,0.77458,92054.80990303308,ASK
2021-03-23 00:00:00,0.77453,0.77468,0.75997,0.76075,102393.82001900673,ASK
2021-03-24 00:00:00,0.76072,0.76284,0.75802,0.75918,99379.6398487091,ASK
2021-03-25 00:00:00,0.75915,0.76142,0.75638,0.75942,110752.02985930443,ASK
2021-03-26 00:00:00,0.75932,0.76453,0.75883,0.76453,75114.3098769188,ASK
2021-03-28 00:00:00,0.76453,0.76453,0.76344,0.76375,4070.6500019431114,ASK
2021-03-29 00:00:00,0.76374,0.76551,0.76156,0.76393,79787.40999795496,ASK
2021-03-30 00:00:00,0.7639,0.76633,0.75855,0.76099,85197.16996679455,ASK
2021-03-31 00:00:00,0.7609,0.76366,0.75888,0.75948,81595.25989609957,ASK
2021-04-01 00:00:00,0.75944,0.76202,0.75326,0.76174,89787.26005649567,ASK
2021-04-02 00:00:00,0.76169,0.76367,0.7599,0.76271,27576.09004789591,ASK
2021-04-04 00:00:00,0.76271,0.76271,0.76052,0.76215,6040.5699816942215,ASK
2021-04-05 00:00:00,0.76199,0.76609,0.7599,0.76579,49124.84993815422,ASK
2021-04-06 00:00:00,0.76576,0.76687,0.76064,0.76671,75707.38996528834,ASK
2021-04-07 00:00:00,0.76667,0.76766,0.76012,0.76142,86007.93996871263,ASK
2021-04-08 00:00:00,0.76142,0.76596,0.76033,0.76579,72075.10004144907,ASK
2021-04-09 00:00:00,0.76573,0.76611,0.75886,0.76241,78248.45992648602,ASK
2021-04-11 00:00:00,0.76241,0.76313,0.76161,0.76238,3635.4200053811073,ASK
2021-04-12 00:00:00,0.7622,0.7636,0.75954,0.76287,69190.90001738071,ASK
2021-04-13 00:00:00,0.76276,0.76532,0.75858,0.76481,82826.15994942188,ASK
2021-04-14 00:00:00,0.76478,0.77374,0.76351,0.77261,81532.41995044053,ASK
2021-04-15 00:00:00,0.77251,0.77614,0.77062,0.77518,84498.85989195108,ASK
2021-04-16 00:00:00,0.77518,0.77587,0.77247,0.77368,69809.78001880646,ASK
2021-04-18 00:00:00,0.77368,0.77368,0.77137,0.77176,2807.97998213768,ASK
2021-04-19 00:00:00,0.77137,0.7785,0.77065,0.77654,84460.96001565456,ASK
2021-04-20 00:00:00,0.77653,0.78157,0.77096,0.77233,94192.87002265453,ASK
2021-04-21 00:00:00,0.77228,0.77623,0.76999,0.77548,85450.98993253708,ASK
2021-04-22 00:00:00,0.77544,0.77649,0.76909,0.77046,97516.98017362505,ASK
2021-04-23 00:00:00,0.77046,0.77606,0.77008,0.77486,70298.86008429527,ASK
2021-04-25 00:00:00,0.77486,0.77527,0.77421,0.77449,3005.980000793934,ASK
2021-04-26 00:00:00,0.7743,0.78155,0.77424,0.77981,75091.32008743286,ASK
2021-04-27 00:00:00,0.7797,0.78039,0.7762,0.77685,71462.59992572665,ASK
2021-04-28 00:00:00,0.7768,0.78061,0.77258,0.78017,82477.03997015953,ASK
2021-04-29 00:00:00,0.78016,0.78183,0.77509,0.77783,83799.74998281151,ASK
2021-04-30 00:00:00,0.77779,0.77837,0.76965,0.77136,82001.11999976635,ASK
2021-05-02 00:00:00,0.77136,0.77261,0.77136,0.77208,2169.809996753931,ASK
2021-05-03 00:00:00,0.77207,0.7767,0.77067,0.7759,63327.759865403175,ASK
2021-05-04 00:00:00,0.77588,0.7761,0.76756,0.77143,95328.14009833336,ASK
2021-05-05 00:00:00,0.77138,0.77543,0.77045,0.77528,69354.77990531921,ASK
2021-05-06 00:00:00,0.77517,0.77887,0.77018,0.77878,85064.68993714452,ASK
2021-05-07 00:00:00,0.77872,0.7861,0.77615,0.78472,87966.68000841141,ASK
2021-05-09 00:00:00,0.78472,0.78624,0.78472,0.78599,3160.3399945497513,ASK
2021-05-10 00:00:00,0.78587,0.78912,0.78278,0.7841,87368.04999619722,ASK
2021-05-11 00:00:00,0.7841,0.7856,0.78205,0.78385,105415.91993927956,ASK
2021-05-12 00:00:00,0.78383,0.78423,0.77198,0.77331,134190.0799728036,ASK
