Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,0.69641,0.69641,0.69395,0.69425,4153.140020489693,ASK
2021-01-04 00:00:00,0.69422,0.69642,0.68874,0.6896,109238.26018166542,ASK
2021-01-05 00:00:00,0.68959,0.69383,0.68896,0.69292,107133.80005806684,ASK
2021-01-06 00:00:00,0.69292,0.69545,0.69066,0.69346,156886.53989219666,ASK
2021-01-07 00:00:00,0.69342,0.69864,0.69267,0.69799,110666.18013000488,ASK
2021-01-08 00:00:00,0.69792,0.69953,0.69532,0.69866,123611.96019172668,ASK
2021-01-10 00:00:00,0.69866,0.69892,0.69715,0.6975,4556.369999527931,ASK
2021-01-11 00:00:00,0.69749,0.6978,0.69435,0.69662,102461.0499265194,ASK
2021-01-12 00:00:00,0.69659,0.69886,0.69644,0.69745,93817.87998771667,ASK
2021-01-13 00:00:00,0.69743,0.70009,0.6962,0.69881,93900.65011024475,ASK
2021-01-14 00:00:00,0.69873,0.70321,0.69858,0.70252,96975.66007876396,ASK
2021-01-15 00:00:00,0.70253,0.7026,0.69718,0.7,95544.23002052307,ASK
2021-01-17 00:00:00,0.7,0.7004,0.69878,0.69912,4505.390013575554,ASK
2021-01-18 00:00:00,0.69891,0.69943,0.69659,0.6989,99409.79993975163,ASK
2021-01-19 00:00:00,0.69889,0.70043,0.6959,0.69819,82910.38004517555,ASK
2021-01-20 00:00:00,0.69818,0.7057,0.69756,0.70439,91725.45998191833,ASK
2021-01-21 00:00:00,0.70435,0.70498,0.70005,0.70008,87609.79002046585,ASK
2021-01-22 00:00:00,0.70005,0.70022,0.6951,0.69578,80686.9698536396,ASK
2021-01-24 00:00:00,0.69578,0.69736,0.69519,0.69598,3410.739990711212,ASK
2021-01-25 00:00:00,0.69596,0.69849,0.69586,0.69733,92703.6000212431,ASK
2021-01-26 00:00:00,0.6973,0.69927,0.69562,0.69864,80744.05999910831,ASK
2021-01-27 00:00:00,0.69862,0.69871,0.69349,0.69389,133155.75015044212,ASK
2021-01-28 00:00:00,0.69384,0.6944,0.69066,0.69267,132125.2002608776,ASK
2021-01-29 00:00:00,0.69266,0.6981,0.69094,0.6979,148059.57021713257,ASK
2021-01-31 00:00:00,0.6979,0.6979,0.69562,0.69657,6245.779978752136,ASK
2021-02-01 00:00:00,0.69651,0.70037,0.6964,0.69786,125489.62016618252,ASK
2021-02-02 00:00:00,0.69782,0.70273,0.69756,0.70241,113295.39019918442,ASK
2021-02-03 00:00:00,0.70232,0.70455,0.70151,0.70287,93822.20007503033,ASK
2021-02-04 00:00:00,0.70283,0.70618,0.70271,0.70507,95370.55002081394,ASK
2021-02-05 00:00:00,0.70498,0.70612,0.70369,0.70528,90043.07003545761,ASK
2021-02-07 00:00:00,0.70528,0.70536,0.70452,0.70472,5308.610015869141,ASK
2021-02-08 00:00:00,0.70469,0.70609,0.70418,0.70556,81524.21995472908,ASK
2021-02-09 00:00:00,0.70554,0.70571,0.70025,0.70306,89280.96002829075,ASK
2021-02-10 00:00:00,0.70301,0.70315,0.70074,0.70126,92341.45995783806,ASK
2021-02-11 00:00:00,0.70125,0.70279,0.70043,0.70103,71942.12995582819,ASK
2021-02-12 00:00:00,0.70096,0.7031,0.69921,0.7029,66643.73999214172,ASK
2021-02-14 00:00:00,0.7029,0.7037,0.70262,0.70301,3674.2099986076355,ASK
2021-02-15 00:00:00,0.703,0.70511,0.7029,0.70439,56754.259935975075,ASK
2021-02-16 00:00:00,0.70439,0.70496,0.70234,0.70309,93911.63994693756,ASK
2021-02-17 00:00:00,0.70303,0.70809,0.70276,0.70765,105276.90990805626,ASK
2021-02-18 00:00:00,0.70763,0.70812,0.70482,0.70673,91577.87988305092,ASK
2021-02-19 00:00:00,0.70666,0.71118,0.70516,0.71115,89092.32994878292,ASK
2021-02-21 00:00:00,0.71115,0.71188,0.71045,0.71185,3426.050009727478,ASK
2021-02-22 00:00:00,0.71184,0.71351,0.70867,0.71049,103589.619961977,ASK
2021-02-23 00:00:00,0.71042,0.71966,0.7101,0.71893,109645.08997106552,ASK
2021-02-24 00:00:00,0.71891,0.72524,0.71884,0.72484,127580.69994294643,ASK
2021-02-25 00:00:00,0.72476,0.72717,0.7175,0.71824,164005.46017360687,ASK
2021-02-26 00:00:00,0.71813,0.71882,0.71293,0.71425,197779.79984283447,ASK
2021-02-28 00:00:00,0.71425,0.71516,0.71324,0.71481,5054.370019674301,ASK
2021-03-01 00:00:00,0.71471,0.72394,0.7145,0.72396,133392.76017546654,ASK
2021-03-02 00:00:00,0.72392,0.72624,0.72192,0.72441,139471.5400941372,ASK
2021-03-03 00:00:00,0.7243,0.72807,0.72399,0.72612,134779.3399631977,ASK
2021-03-04 00:00:00,0.72599,0.73593,0.7257,0.73308,194948.60985207558,ASK
2021-03-05 00:00:00,0.73302,0.73654,0.72878,0.73566,179483.75013923645,ASK
2021-03-07 00:00:00,0.73566,0.73684,0.73418,0.73649,6178.910001039505,ASK
2021-03-08 00:00:00,0.73642,0.74,0.73517,0.73967,149092.2399470806,ASK
2021-03-09 00:00:00,0.73965,0.74093,0.73368,0.73414,138263.8102478087,ASK
2021-03-10 00:00:00,0.73406,0.73765,0.73303,0.73688,133457.82017028332,ASK
2021-03-11 00:00:00,0.73687,0.73829,0.73472,0.738,117084.5699365139,ASK
2021-03-12 00:00:00,0.73781,0.74627,0.73778,0.74627,115609.9301738739,ASK
2021-03-14 00:00:00,0.74627,0.74628,0.74456,0.74549,4831.850001633167,ASK
2021-03-15 00:00:00,0.74546,0.74756,0.74262,0.74363,103909.88006961346,ASK
2021-03-16 00:00:00,0.74357,0.74425,0.74118,0.7435,99428.25005292892,ASK
2021-03-17 00:00:00,0.74347,0.74558,0.74217,0.74454,107527.08993804455,ASK
2021-03-18 00:00:00,0.74453,0.74737,0.74117,0.74246,140806.33006894588,ASK
2021-03-19 00:00:00,0.74235,0.74465,0.74129,0.74366,111579.45999526978,ASK
2021-03-21 00:00:00,0.74366,0.7438,0.74205,0.7428,4220.6600253582,ASK
2021-03-22 00:00:00,0.74266,0.74453,0.73654,0.7376,79728.38997352123,ASK
2021-03-23 00:00:00,0.73756,0.74491,0.73647,0.74244,97490.28002548218,ASK
2021-03-24 00:00:00,0.7424,0.74608,0.74143,0.7442,88569.16004276276,ASK
2021-03-25 00:00:00,0.74417,0.74608,0.74208,0.74561,104653.54996109009,ASK
2021-03-26 00:00:00,0.7455,0.74926,0.74517,0.74733,75830.64005303383,ASK
