Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,81.248,81.248,81.073,81.154,5818.070029616356,ASK
2021-01-04 00:00:00,81.152,81.17,80.61,80.699,151742.93987226486,ASK
2021-01-05 00:00:00,80.699,81.123,80.565,81.016,154803.7700264454,ASK
2021-01-06 00:00:00,81.015,81.536,80.971,81.361,211028.1098408699,ASK
2021-01-07 00:00:00,81.351,81.944,81.242,81.846,131674.13022255898,ASK
2021-01-08 00:00:00,81.837,81.987,81.617,81.972,156638.62008953094,ASK
2021-01-10 00:00:00,81.972,81.972,81.746,81.79,6269.619967401028,ASK
2021-01-11 00:00:00,81.789,81.819,81.244,81.537,126332.67993843555,ASK
2021-01-12 00:00:00,81.531,81.816,81.482,81.653,117838.5501461029,ASK
2021-01-13 00:00:00,81.65,81.924,81.461,81.784,116234.71013909578,ASK
2021-01-14 00:00:00,81.779,82.181,81.741,82.111,116657.22988033295,ASK
2021-01-15 00:00:00,82.109,82.114,81.321,81.603,110411.20991778374,ASK
2021-01-17 00:00:00,81.603,81.62,81.369,81.394,5471.219987422228,ASK
2021-01-18 00:00:00,81.368,81.388,81.09,81.35,123682.11001372337,ASK
2021-01-19 00:00:00,81.349,81.796,81.337,81.679,104265.01005339622,ASK
2021-01-20 00:00:00,81.676,82.124,81.561,82.017,100604.93998003006,ASK
2021-01-21 00:00:00,82.008,82.188,81.838,81.843,100238.54012036324,ASK
2021-01-22 00:00:00,81.838,81.925,81.487,81.567,88041.73996758461,ASK
2021-01-24 00:00:00,81.567,81.701,81.531,81.571,4206.970002174377,ASK
2021-01-25 00:00:00,81.561,81.774,81.243,81.47,94065.19993460178,ASK
2021-01-26 00:00:00,81.466,81.701,81.17,81.63,82560.5099555254,ASK
2021-01-27 00:00:00,81.629,81.679,81.231,81.259,125806.38014316559,ASK
2021-01-28 00:00:00,81.25,81.554,80.992,81.3,127781.11007070541,ASK
2021-01-29 00:00:00,81.296,82.189,81.152,82.01,144153.26993703842,ASK
2021-01-31 00:00:00,82.01,82.012,81.738,81.815,9185.380023241043,ASK
2021-02-01 00:00:00,81.809,82.049,81.588,81.635,116579.20992738008,ASK
2021-02-02 00:00:00,81.632,82.188,81.581,82.154,108591.65003848076,ASK
2021-02-03 00:00:00,82.141,82.288,81.999,82.135,88424.31999063492,ASK
2021-02-04 00:00:00,82.131,82.359,82.09,82.335,84930.4699614048,ASK
2021-02-05 00:00:00,82.324,82.69,82.25,82.69,90494.75003433228,ASK
2021-02-07 00:00:00,82.69,82.69,82.54,82.607,9597.439992666245,ASK
2021-02-08 00:00:00,82.604,82.708,82.404,82.601,82239.34004437923,ASK
2021-02-09 00:00:00,82.595,82.599,81.968,82.374,93169.63999712467,ASK
2021-02-10 00:00:00,82.367,82.562,82.297,82.405,94648.3500430584,ASK
