Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,116.785,117.002,116.784,116.917,5429.989967823029,ASK
2021-01-04 00:00:00,116.917,117.298,116.46,117.038,104661.19004154205,ASK
2021-01-05 00:00:00,117.035,117.14,116.752,116.941,96932.5200343132,ASK
2021-01-06 00:00:00,116.933,117.488,116.809,117.34,140433.91997373104,ASK
2021-01-07 00:00:00,117.329,117.519,117.223,117.277,123468.70002768189,ASK
2021-01-08 00:00:00,117.276,117.592,117.059,117.474,132390.99015522003,ASK
2021-01-10 00:00:00,117.474,117.474,117.245,117.297,5179.259982347488,ASK
2021-01-11 00:00:00,117.274,117.396,116.898,117.065,98919.42997384071,ASK
2021-01-12 00:00:00,117.064,117.241,116.958,117.088,97107.28987205029,ASK
2021-01-13 00:00:00,117.083,117.214,116.873,117.05,95375.569919765,ASK
2021-01-14 00:00:00,117.043,117.3,116.762,116.909,112424.4100438729,ASK
2021-01-15 00:00:00,116.889,116.908,116.527,116.586,85538.48001980782,ASK
2021-01-17 00:00:00,116.586,116.653,116.43,116.464,4678.209978222847,ASK
2021-01-18 00:00:00,116.439,116.577,116.293,116.411,81841.79996156693,ASK
2021-01-19 00:00:00,116.409,117.277,116.38,117.0,91618.92996180058,ASK
2021-01-20 00:00:00,117.001,117.053,116.238,116.454,88492.80009007454,ASK
2021-01-21 00:00:00,116.445,116.989,116.292,116.922,96546.54999661446,ASK
2021-01-22 00:00:00,116.916,117.307,116.91,117.264,78982.90997457504,ASK
2021-01-24 00:00:00,117.264,117.31,117.201,117.213,5076.189982414246,ASK
2021-01-25 00:00:00,117.203,117.272,116.742,116.852,83654.340041399,ASK
2021-01-26 00:00:00,116.849,116.973,116.66,116.864,75395.70007014275,ASK
2021-01-27 00:00:00,116.851,117.242,116.768,117.125,106018.0199996233,ASK
2021-01-28 00:00:00,117.119,117.571,117.046,117.395,104117.31999003887,ASK
2021-01-29 00:00:00,117.386,117.999,117.381,117.616,113772.84008407593,ASK
2021-01-31 00:00:00,117.616,117.807,117.432,117.472,6469.810015678406,ASK
2021-02-01 00:00:00,117.468,117.512,116.952,116.991,93752.47006440163,ASK
2021-02-02 00:00:00,116.989,117.231,116.871,116.978,92229.24992752075,ASK
2021-02-03 00:00:00,116.97,117.019,116.724,116.87,73391.16990175843,ASK
2021-02-04 00:00:00,116.872,116.879,116.602,116.79,79700.71991163492,ASK
2021-02-05 00:00:00,116.784,117.255,116.689,117.255,87466.57006406784,ASK
2021-02-07 00:00:00,117.255,117.315,117.191,117.244,8471.499984502792,ASK
2021-02-08 00:00:00,117.238,117.346,116.988,117.09,81417.18994906545,ASK
2021-02-09 00:00:00,117.086,117.291,116.927,117.192,87022.15990257263,ASK
2021-02-10 00:00:00,117.188,117.735,117.13,117.521,85010.01998645812,ASK
2021-02-11 00:00:00,117.519,117.772,117.426,117.692,59389.21987569332,ASK
2021-02-12 00:00:00,117.688,117.886,117.559,117.742,64716.0799138546,ASK
2021-02-14 00:00:00,117.742,117.966,117.721,117.815,9748.050035953522,ASK
2021-02-15 00:00:00,117.8,118.437,117.737,118.421,61116.37006658316,ASK
2021-02-16 00:00:00,118.412,118.931,118.412,118.784,107302.31991863251,ASK
2021-02-17 00:00:00,118.76,118.814,117.737,117.819,101368.75997704268,ASK
2021-02-18 00:00:00,117.806,118.061,117.683,117.924,86712.9599212408,ASK
2021-02-19 00:00:00,117.919,118.079,117.584,117.672,81837.81996035576,ASK
2021-02-21 00:00:00,117.672,117.924,117.57,117.687,6092.6599798202515,ASK
