Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,1.58806,1.59045,1.58743,1.5888,10606.779997944832,ASK
2021-01-04 00:00:00,1.58871,1.60266,1.58638,1.59782,206410.23997592926,ASK
2021-01-05 00:00:00,1.59767,1.59889,1.58171,1.58478,199060.45985412598,ASK
2021-01-06 00:00:00,1.58445,1.58798,1.57711,1.57883,280265.63982748985,ASK
2021-01-07 00:00:00,1.57876,1.58642,1.5786,1.57946,219062.6598250866,ASK
2021-01-08 00:00:00,1.57939,1.58122,1.57254,1.57481,248730.88033390045,ASK
2021-01-10 00:00:00,1.57481,1.57946,1.57481,1.57948,8545.019985795021,ASK
2021-01-11 00:00:00,1.57858,1.58308,1.57498,1.57795,205818.65993762016,ASK
2021-01-12 00:00:00,1.57789,1.57929,1.56951,1.57032,192628.0799677372,ASK
2021-01-13 00:00:00,1.57021,1.57473,1.56858,1.57017,176771.7300299406,ASK
2021-01-14 00:00:00,1.57009,1.57083,1.55946,1.56278,197859.05973672867,ASK
2021-01-15 00:00:00,1.5628,1.57332,1.56138,1.56856,185411.33011484146,ASK
2021-01-17 00:00:00,1.56856,1.57057,1.56659,1.57058,7310.920012950897,ASK
2021-01-18 00:00:00,1.57056,1.57516,1.5682,1.57178,159694.01990830898,ASK
2021-01-19 00:00:00,1.57169,1.57695,1.56729,1.57393,168333.4598712921,ASK
2021-01-20 00:00:00,1.57389,1.57595,1.56032,1.56244,176478.0398621559,ASK
2021-01-21 00:00:00,1.56229,1.56856,1.55982,1.56796,178996.8800520897,ASK
2021-01-22 00:00:00,1.56791,1.5805,1.56708,1.57862,171306.77977275848,ASK
2021-01-24 00:00:00,1.57862,1.57945,1.57602,1.57767,5538.409992098808,ASK
2021-01-25 00:00:00,1.57749,1.57784,1.57085,1.57406,195877.88006937504,ASK
2021-01-26 00:00:00,1.57408,1.57942,1.56878,1.56896,174117.9202120304,ASK
2021-01-27 00:00:00,1.56887,1.58282,1.56754,1.58266,255228.3298075199,ASK
2021-01-28 00:00:00,1.58251,1.59475,1.57631,1.58045,276798.3501956463,ASK
2021-01-29 00:00:00,1.58026,1.58929,1.57763,1.58856,289853.890127182,ASK
2021-01-31 00:00:00,1.58856,1.59361,1.58856,1.59131,12338.380063772202,ASK
2021-02-01 00:00:00,1.59082,1.59042,1.57886,1.581,231269.86030340195,ASK
2021-02-02 00:00:00,1.58097,1.58944,1.57724,1.58263,207446.87997817993,ASK
2021-02-03 00:00:00,1.58263,1.58383,1.57663,1.57711,168799.88001918793,ASK
2021-02-04 00:00:00,1.57695,1.57824,1.57071,1.57465,173499.810151577,ASK
2021-02-05 00:00:00,1.57453,1.57641,1.56935,1.56974,163527.95987415314,ASK
2021-02-07 00:00:00,1.56974,1.57067,1.56872,1.56938,8691.050016760826,ASK
2021-02-08 00:00:00,1.56924,1.57175,1.56182,1.56367,134909.599876374,ASK
2021-02-09 00:00:00,1.56362,1.56897,1.56239,1.56553,148844.8899242878,ASK
2021-02-10 00:00:00,1.56548,1.57051,1.56507,1.56914,166087.64028683305,ASK
2021-02-11 00:00:00,1.56915,1.57082,1.56259,1.5651,127733.90980577469,ASK
2021-02-12 00:00:00,1.56497,1.56839,1.56138,1.56228,111824.84012532234,ASK
2021-02-14 00:00:00,1.56228,1.56272,1.56098,1.56152,6023.670016288757,ASK
2021-02-15 00:00:00,1.5614,1.56171,1.5575,1.55844,83862.76998125017,ASK
2021-02-16 00:00:00,1.55839,1.56356,1.55607,1.56317,152211.3101773411,ASK
2021-02-17 00:00:00,1.56277,1.5628,1.55261,1.55271,168500.7299888134,ASK
2021-02-18 00:00:00,1.55278,1.56035,1.55054,1.55686,155079.9398189485,ASK
2021-02-19 00:00:00,1.55666,1.55764,1.53953,1.54071,155958.29018306732,ASK
2021-02-21 00:00:00,1.54071,1.54105,1.53674,1.53834,5640.250006616116,ASK
2021-02-22 00:00:00,1.53831,1.54101,1.53445,1.53719,165085.11008024216,ASK
2021-02-23 00:00:00,1.53709,1.54007,1.5344,1.53676,168511.2498317361,ASK
2021-02-24 00:00:00,1.53676,1.53759,1.52557,1.52599,199353.67024987936,ASK
2021-02-25 00:00:00,1.52593,1.54769,1.52536,1.54643,260161.14008682966,ASK
