Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,1.55583,1.55943,1.55583,1.55886,7703.960001468658,ASK
2021-01-04 00:00:00,1.55879,1.56799,1.55543,1.56625,185912.9899711609,ASK
2021-01-05 00:00:00,1.56618,1.56675,1.55665,1.55919,172137.9699470997,ASK
2021-01-06 00:00:00,1.5591,1.56582,1.55734,1.56287,256687.31012439728,ASK
2021-01-07 00:00:00,1.56283,1.56399,1.55448,1.55651,174776.01998960972,ASK
2021-01-08 00:00:00,1.55651,1.55803,1.55065,1.55131,182767.4601097107,ASK
2021-01-10 00:00:00,1.55131,1.55372,1.55079,1.55172,6815.470006585121,ASK
2021-01-11 00:00:00,1.55119,1.55914,1.55029,1.55352,155530.8600268364,ASK
2021-01-12 00:00:00,1.55349,1.5538,1.54856,1.55159,149579.97001099586,ASK
2021-01-13 00:00:00,1.55153,1.55369,1.54191,1.54441,136623.09998694062,ASK
2021-01-14 00:00:00,1.54439,1.5446,1.53364,1.5369,153422.58020365238,ASK
2021-01-15 00:00:00,1.53682,1.54339,1.53637,1.53933,132015.68995904922,ASK
2021-01-17 00:00:00,1.53933,1.54128,1.53781,1.54128,7131.970022439957,ASK
2021-01-18 00:00:00,1.54125,1.54505,1.53926,1.53999,126146.0099478364,ASK
2021-01-19 00:00:00,1.53995,1.54754,1.53861,1.54452,113616.68006208539,ASK
2021-01-20 00:00:00,1.54448,1.54533,1.52695,1.53008,130273.07968831062,ASK
2021-01-21 00:00:00,1.53002,1.53896,1.52863,1.53898,131097.23989236355,ASK
2021-01-22 00:00:00,1.53896,1.55063,1.53859,1.55063,124465.47002315521,ASK
2021-01-24 00:00:00,1.55063,1.55071,1.54777,1.54869,4547.979976296425,ASK
2021-01-25 00:00:00,1.54846,1.54869,1.54311,1.54692,139717.31994342804,ASK
2021-01-26 00:00:00,1.54689,1.54986,1.54336,1.54408,123730.93008685112,ASK
2021-01-27 00:00:00,1.54395,1.55206,1.54197,1.55156,194920.66007208824,ASK
2021-01-28 00:00:00,1.55147,1.55938,1.54992,1.55551,201887.35007238388,ASK
2021-01-29 00:00:00,1.55534,1.55803,1.54733,1.55162,215338.57013320923,ASK
2021-01-31 00:00:00,1.55162,1.55403,1.55131,1.55228,9949.500022411346,ASK
2021-02-01 00:00:00,1.55193,1.55211,1.54563,1.55076,173655.49991571903,ASK
2021-02-02 00:00:00,1.55075,1.55145,1.53904,1.53927,155708.12987327576,ASK
2021-02-03 00:00:00,1.53926,1.53998,1.53502,1.53959,127564.12003087997,ASK
2021-02-04 00:00:00,1.53957,1.53982,1.5321,1.53482,130141.64978922904,ASK
2021-02-05 00:00:00,1.53479,1.5386,1.53142,1.53773,120595.71991276741,ASK
2021-02-07 00:00:00,1.53773,1.53773,1.53634,1.53765,8638.069938659668,ASK
2021-02-08 00:00:00,1.53757,1.53838,1.53474,1.53553,113102.14000912756,ASK
2021-02-09 00:00:00,1.5355,1.54376,1.53519,1.5387,123340.15010285378,ASK
2021-02-10 00:00:00,1.53868,1.5413,1.53762,1.53892,125617.26994401217,ASK
2021-02-11 00:00:00,1.5389,1.54172,1.53701,1.54076,106620.8499546647,ASK
2021-02-12 00:00:00,1.54072,1.54427,1.53757,1.53949,88867.16010653973,ASK
2021-02-14 00:00:00,1.53949,1.53949,1.53779,1.53824,4926.890003442764,ASK
2021-02-15 00:00:00,1.53812,1.53844,1.53254,1.53313,71283.57004141808,ASK
2021-02-16 00:00:00,1.53309,1.53785,1.53141,1.537,127983.00020171702,ASK
2021-02-17 00:00:00,1.53681,1.5372,1.52859,1.52993,133423.1000480652,ASK
2021-02-18 00:00:00,1.52991,1.53653,1.52869,1.53355,113313.19981521368,ASK
2021-02-19 00:00:00,1.53351,1.53762,1.52813,1.52955,108323.69995522499,ASK
2021-02-21 00:00:00,1.52955,1.5309,1.52771,1.52809,4579.690000414848,ASK
2021-02-22 00:00:00,1.52794,1.53512,1.5264,1.53418,122285.47013950348,ASK
2021-02-23 00:00:00,1.53415,1.53487,1.52822,1.53053,123423.89993906021,ASK
2021-02-24 00:00:00,1.53045,1.53057,1.52115,1.52291,146569.3899769783,ASK
2021-02-25 00:00:00,1.5229,1.53616,1.52155,1.53369,208359.7701165676,ASK
2021-02-26 00:00:00,1.53366,1.53935,1.52916,1.53837,238571.37015533447,ASK
2021-02-28 00:00:00,1.53837,1.53943,1.5344,1.53542,10348.350075483322,ASK
2021-03-01 00:00:00,1.53532,1.53604,1.5228,1.52318,147870.97015953064,ASK
2021-03-02 00:00:00,1.52323,1.52841,1.52022,1.52724,164816.57021820545,ASK
2021-03-03 00:00:00,1.52717,1.52757,1.52229,1.52711,160950.3997937441,ASK
2021-03-04 00:00:00,1.52702,1.52706,1.51419,1.51749,217148.40022671223,ASK
2021-03-05 00:00:00,1.5175,1.51792,1.50649,1.50907,214779.15999221802,ASK
2021-03-07 00:00:00,1.50907,1.50967,1.50584,1.50672,8281.839991688728,ASK
2021-03-08 00:00:00,1.50665,1.50782,1.49934,1.50043,180164.55988013744,ASK
2021-03-09 00:00:00,1.50027,1.50526,1.49871,1.50465,159205.02997136116,ASK
2021-03-10 00:00:00,1.50466,1.50687,1.50252,1.50521,148547.80003356934,ASK
2021-03-11 00:00:00,1.50514,1.50661,1.50113,1.50214,141504.7400650978,ASK
2021-03-12 00:00:00,1.50214,1.50196,1.4895,1.4918,132480.57004499435,ASK
2021-03-14 00:00:00,1.4918,1.492,1.49014,1.49023,5056.429999411106,ASK
2021-03-15 00:00:00,1.49021,1.49166,1.48442,1.48827,118803.5997966528,ASK
2021-03-16 00:00:00,1.48828,1.49031,1.48034,1.4811,113215.12992155552,ASK
2021-03-17 00:00:00,1.48108,1.48937,1.48107,1.48458,137359.6899074316,ASK
2021-03-18 00:00:00,1.48455,1.49173,1.48077,1.4891,160490.44987934828,ASK
2021-03-19 00:00:00,1.48911,1.49072,1.48414,1.48817,122904.40004444122,ASK
2021-03-21 00:00:00,1.48817,1.48916,1.48721,1.48842,4992.060022592545,ASK
2021-03-22 00:00:00,1.48844,1.49551,1.48521,1.49427,101728.71007502079,ASK
2021-03-23 00:00:00,1.49421,1.49749,1.48576,1.49079,115464.50989031792,ASK
2021-03-24 00:00:00,1.49061,1.49274,1.48401,1.48626,110992.2799911499,ASK
2021-03-25 00:00:00,1.48603,1.48981,1.48232,1.48443,129448.30999815464,ASK
2021-03-26 00:00:00,1.48444,1.48611,1.48029,1.48411,93186.77993059158,ASK
2021-03-28 00:00:00,1.48411,1.48411,1.48301,1.48365,3659.0699964761734,ASK
2021-03-29 00:00:00,1.48365,1.48711,1.48101,1.48187,96331.86991941929,ASK
2021-03-30 00:00:00,1.4818,1.4831,1.47717,1.47986,92961.10000050068,ASK
2021-03-31 00:00:00,1.47981,1.48006,1.47273,1.47365,113612.17989420891,ASK
2021-04-01 00:00:00,1.47355,1.47975,1.47309,1.47792,97093.64990210533,ASK
2021-04-02 00:00:00,1.4779,1.48055,1.47527,1.48023,44844.299944877625,ASK
2021-04-04 00:00:00,1.48023,1.48032,1.47847,1.47867,4663.299997448921,ASK
2021-04-05 00:00:00,1.47864,1.48132,1.47435,1.47965,62392.580010175705,ASK
2021-04-06 00:00:00,1.47963,1.4936,1.47919,1.49295,90603.50990450382,ASK
2021-04-07 00:00:00,1.49289,1.50344,1.49259,1.49765,105764.2398827076,ASK
2021-04-08 00:00:00,1.49763,1.49966,1.4946,1.49718,104348.8999979496,ASK
2021-04-09 00:00:00,1.4971,1.49987,1.48958,1.49205,101125.51999497414,ASK
2021-04-11 00:00:00,1.49205,1.49497,1.49076,1.49123,4246.420007675886,ASK
2021-04-12 00:00:00,1.4911,1.49731,1.49109,1.49666,95292.51014509797,ASK
2021-04-13 00:00:00,1.49656,1.50285,1.49521,1.49884,111189.01986390352,ASK
2021-04-14 00:00:00,1.49881,1.50451,1.4977,1.50012,100672.19009029865,ASK
2021-04-15 00:00:00,1.50007,1.50215,1.49477,1.50175,110377.40008956194,ASK
2021-04-19 00:00:00,1.49845,1.5097,1.49525,1.50827,112227.53015568852,ASK
2021-04-20 00:00:00,1.50829,1.5186,1.50582,1.51769,123134.2200012207,ASK
2021-04-21 00:00:00,1.51771,1.51878,1.49917,1.50538,110134.03995937109,ASK
2021-04-22 00:00:00,1.50533,1.50875,1.49834,1.50231,124396.95996010303,ASK
2021-04-23 00:00:00,1.50226,1.51029,1.49963,1.50955,91725.17016887665,ASK
2021-04-25 00:00:00,1.50955,1.51068,1.50877,1.51006,3670.7999960184097,ASK
2021-04-26 00:00:00,1.51005,1.50997,1.49597,1.49753,106096.12982541323,ASK
2021-04-27 00:00:00,1.49748,1.50047,1.49656,1.50001,94437.85993415117,ASK
2021-04-28 00:00:00,1.5,1.50004,1.49053,1.49313,111227.3701235652,ASK
2021-04-29 00:00:00,1.49311,1.49395,1.4882,1.48871,113697.4400909245,ASK
2021-04-30 00:00:00,1.48856,1.48902,1.47597,1.47805,111324.15994727612,ASK
2021-05-02 00:00:00,1.47805,1.48011,1.47705,1.47713,1953.4799976348877,ASK
2021-05-03 00:00:00,1.47706,1.48409,1.47641,1.48101,84023.93010562658,ASK
2021-05-04 00:00:00,1.48098,1.48393,1.47782,1.47806,114738.90000522137,ASK
2021-05-05 00:00:00,1.47805,1.47817,1.47054,1.47333,94891.92990136147,ASK
2021-05-06 00:00:00,1.47331,1.47684,1.46496,1.46677,110397.72012782097,ASK
2021-05-07 00:00:00,1.46671,1.47848,1.46588,1.47561,119894.95985221863,ASK
2021-05-09 00:00:00,1.47561,1.47775,1.47471,1.47487,4120.08998632431,ASK
2021-05-10 00:00:00,1.47478,1.47516,1.46724,1.46839,117204.39995861053,ASK
2021-05-11 00:00:00,1.46838,1.4747,1.46791,1.46929,137371.40997767448,ASK
2021-05-12 00:00:00,1.46928,1.47031,1.45833,1.46405,168433.90991020203,ASK
2021-05-13 00:00:00,1.46403,1.47213,1.46311,1.46996,161300.97986328602,ASK
2021-05-14 00:00:00,1.46993,1.47306,1.46705,1.47097,114372.08002710342,ASK
2021-05-16 00:00:00,1.47097,1.47232,1.47056,1.47182,3029.910001039505,ASK
2021-05-17 00:00:00,1.47179,1.47422,1.46613,1.4665,116229.58004951477,ASK
2021-05-18 00:00:00,1.46639,1.47594,1.46441,1.4757,109485.63999259472,ASK
2021-05-19 00:00:00,1.47564,1.48171,1.47239,1.47664,167533.89000988007,ASK
2021-05-20 00:00:00,1.47662,1.48013,1.47295,1.47499,127438.9798271656,ASK
2021-05-21 00:00:00,1.4748,1.47852,1.46705,1.47013,122476.49003458023,ASK
2021-05-23 00:00:00,1.47013,1.47136,1.46944,1.47036,4242.880005002022,ASK
2021-05-24 00:00:00,1.47042,1.47597,1.46968,1.47196,106054.85005477071,ASK
2021-05-25 00:00:00,1.47192,1.47952,1.4719,1.47799,130108.1400501728,ASK
2021-05-26 00:00:00,1.47788,1.48214,1.47548,1.47907,125840.96993529797,ASK
2021-05-27 00:00:00,1.47905,1.47892,1.47072,1.47193,141526.59005351365,ASK
2021-05-28 00:00:00,1.4719,1.47518,1.46807,1.47292,116231.86978244781,ASK
2021-05-30 00:00:00,1.47292,1.47375,1.47233,1.47249,2918.620000720024,ASK
2021-05-31 00:00:00,1.47239,1.4778,1.47008,1.47547,86007.90013933182,ASK
2021-06-01 00:00:00,1.47542,1.47592,1.46991,1.47487,106269.16984081268,ASK
2021-06-02 00:00:00,1.47485,1.47546,1.46914,1.47028,103455.9000736475,ASK
2021-06-03 00:00:00,1.47021,1.47208,1.46772,1.46911,122102.28004801273,ASK
2021-06-04 00:00:00,1.46902,1.47249,1.46675,1.47021,103760.37001085281,ASK
2021-06-06 00:00:00,1.47021,1.47021,1.46886,1.4694,2710.969992518425,ASK
2021-06-07 00:00:00,1.46933,1.47381,1.46788,1.47357,81886.48999023438,ASK
2021-06-08 00:00:00,1.47356,1.47581,1.47021,1.47463,95515.20000123978,ASK
2021-06-09 00:00:00,1.47458,1.47577,1.47247,1.47554,89308.33996212482,ASK
2021-06-10 00:00:00,1.47553,1.47612,1.47103,1.47259,154392.0602735281,ASK
2021-06-11 00:00:00,1.47257,1.47402,1.46781,1.47263,117278.24017953873,ASK
2021-06-13 00:00:00,1.47263,1.47407,1.47219,1.47271,3582.0500094890594,ASK
2021-06-14 00:00:00,1.47268,1.47493,1.47004,1.47213,108657.51990318298,ASK
2021-06-15 00:00:00,1.47211,1.47936,1.47095,1.47767,120812.68990695477,ASK
2021-06-16 00:00:00,1.4776,1.47845,1.47067,1.47304,169091.1100537777,ASK
2021-06-17 00:00:00,1.47297,1.47355,1.46811,1.47087,222813.20999097824,ASK
2021-06-18 00:00:00,1.47087,1.48014,1.46988,1.48014,201759.2099261284,ASK
2021-06-20 00:00:00,1.48014,1.48069,1.47721,1.47809,5216.630003094673,ASK
2021-06-21 00:00:00,1.47806,1.48256,1.47187,1.47365,183348.92994892597,ASK
2021-06-22 00:00:00,1.47361,1.47585,1.46906,1.46973,148500.6699668169,ASK
2021-06-23 00:00:00,1.46965,1.47036,1.46569,1.46812,137027.38004791737,ASK
2021-06-24 00:00:00,1.46811,1.47207,1.46653,1.46996,139599.03002524376,ASK
2021-06-25 00:00:00,1.46997,1.47155,1.46726,1.46889,114237.91004920006,ASK
2021-06-27 00:00:00,1.46889,1.46942,1.46766,1.46792,3670.7600123882294,ASK
2021-06-28 00:00:00,1.4679,1.47294,1.4668,1.4716,121281.25979471207,ASK
2021-06-29 00:00:00,1.47154,1.47621,1.46944,1.47545,134047.50010490417,ASK
2021-06-30 00:00:00,1.47545,1.47719,1.46656,1.4696,142936.8900295496,ASK
2021-07-01 00:00:00,1.46957,1.4751,1.46839,1.47385,149995.30011558533,ASK
2021-07-02 00:00:00,1.47383,1.47386,1.46149,1.46311,138953.76000261307,ASK
