Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,1.08163,1.08299,1.08113,1.08196,3683.8300005197525,ASK
2021-01-04 00:00:00,1.08193,1.08318,1.079,1.07988,86641.9401858747,ASK
2021-01-05 00:00:00,1.07988,1.08195,1.07907,1.08022,73746.89003908634,ASK
2021-01-06 00:00:00,1.08016,1.08387,1.07985,1.08357,105447.15993869305,ASK
2021-01-07 00:00:00,1.08353,1.0869,1.08255,1.08621,81775.78005337715,ASK
2021-01-08 00:00:00,1.08616,1.08629,1.08192,1.08303,91671.96001178026,ASK
2021-01-10 00:00:00,1.08303,1.08303,1.08162,1.08183,2805.6700015068054,ASK
2021-01-11 00:00:00,1.0818,1.08405,1.08142,1.08198,73980.5701776743,ASK
2021-01-12 00:00:00,1.08198,1.08315,1.08067,1.08196,66669.480068326,ASK
2021-01-13 00:00:00,1.08197,1.08233,1.07847,1.07906,64782.63996937871,ASK
2021-01-14 00:00:00,1.07904,1.08144,1.07763,1.07954,78826.55009901524,ASK
2021-01-15 00:00:00,1.07955,1.07971,1.07511,1.07645,69145.03999090195,ASK
2021-01-17 00:00:00,1.07645,1.07705,1.07598,1.07715,3471.6000170111656,ASK
2021-01-18 00:00:00,1.07705,1.07702,1.07396,1.07613,52305.39999347925,ASK
2021-01-19 00:00:00,1.07613,1.07817,1.07566,1.07818,55898.7899697274,ASK
2021-01-20 00:00:00,1.07815,1.0793,1.07674,1.07752,60533.77992516756,ASK
2021-01-21 00:00:00,1.07751,1.07856,1.0757,1.07722,63196.040075689554,ASK
2021-01-22 00:00:00,1.07719,1.07846,1.07634,1.07771,61362.309973716736,ASK
2021-01-24 00:00:00,1.07771,1.07853,1.07724,1.07767,2706.3999896645546,ASK
2021-01-25 00:00:00,1.07764,1.07907,1.07697,1.07847,62281.76999759674,ASK
2021-01-26 00:00:00,1.07847,1.08004,1.07712,1.07854,65012.650005459785,ASK
2021-01-27 00:00:00,1.07853,1.07864,1.07504,1.07633,88493.51996994019,ASK
2021-01-28 00:00:00,1.07633,1.07887,1.07529,1.0772,83118.40994200855,ASK
2021-01-29 00:00:00,1.07716,1.0814,1.07609,1.08139,85739.64000272751,ASK
2021-01-31 00:00:00,1.08139,1.08166,1.08035,1.08084,5012.590028047562,ASK
2021-02-01 00:00:00,1.08083,1.0827,1.08066,1.082,71245.64991617203,ASK
2021-02-02 00:00:00,1.08203,1.08333,1.07995,1.08102,66212.3299536705,ASK
2021-02-03 00:00:00,1.08094,1.08247,1.07964,1.0819,59288.38989371061,ASK
2021-02-04 00:00:00,1.0819,1.08249,1.08109,1.08189,61605.53997087479,ASK
2021-02-05 00:00:00,1.08187,1.08356,1.08079,1.08337,57150.879966259,ASK
2021-02-07 00:00:00,1.08337,1.0834,1.08274,1.08336,4231.84000146389,ASK
2021-02-08 00:00:00,1.08337,1.08465,1.08225,1.0832,57827.359892345965,ASK
2021-02-09 00:00:00,1.08319,1.08338,1.08051,1.08158,67208.12003839016,ASK
2021-02-10 00:00:00,1.08158,1.08191,1.07868,1.07902,68176.96995206922,ASK
2021-02-11 00:00:00,1.07903,1.08078,1.07874,1.07989,47480.669988274574,ASK
2021-02-12 00:00:00,1.07985,1.08121,1.07879,1.08116,43675.17992532253,ASK
2021-02-14 00:00:00,1.08116,1.08237,1.08082,1.08121,3882.3699865341187,ASK
2021-02-15 00:00:00,1.08115,1.08199,1.07946,1.07976,35985.88994933665,ASK
2021-02-16 00:00:00,1.07977,1.08125,1.07883,1.0804,59525.93996477127,ASK
2021-02-17 00:00:00,1.08031,1.08257,1.07944,1.08244,62099.95994758606,ASK
2021-02-18 00:00:00,1.08241,1.08387,1.08197,1.08354,43631.000011876225,ASK
2021-02-19 00:00:00,1.08354,1.08703,1.08351,1.08675,43347.37001824379,ASK
2021-02-21 00:00:00,1.08675,1.08748,1.08647,1.08748,3315.669985294342,ASK
2021-02-22 00:00:00,1.08748,1.09154,1.08705,1.08979,55677.99995744228,ASK
2021-02-23 00:00:00,1.08976,1.10015,1.08947,1.10016,64495.75007939339,ASK
2021-02-24 00:00:00,1.10013,1.10548,1.09997,1.10355,102654.77001185715,ASK
2021-02-25 00:00:00,1.10356,1.10941,1.10071,1.10131,137117.0301067829,ASK
2021-02-26 00:00:00,1.10127,1.10189,1.09569,1.09737,161369.18013858795,ASK
2021-02-28 00:00:00,1.09737,1.09891,1.09689,1.09718,5449.61997243762,ASK
2021-03-01 00:00:00,1.09713,1.10316,1.09638,1.10259,125783.20988154411,ASK
2021-03-02 00:00:00,1.10255,1.10621,1.1004,1.10614,114427.65996563435,ASK
2021-03-03 00:00:00,1.10602,1.10998,1.10555,1.10862,108126.209887743,ASK
2021-03-04 00:00:00,1.10844,1.1152,1.1076,1.11224,112402.42993874848,ASK
2021-03-05 00:00:00,1.11214,1.11236,1.10557,1.10989,116784.88026252389,ASK
2021-03-07 00:00:00,1.10989,1.11048,1.10794,1.10942,4880.849997997284,ASK
2021-03-08 00:00:00,1.1094,1.1101,1.10774,1.10957,105429.70998978615,ASK
2021-03-09 00:00:00,1.10955,1.11188,1.10342,1.10433,103597.45999617875,ASK
2021-03-10 00:00:00,1.1043,1.10978,1.10304,1.10891,91673.57015377283,ASK
2021-03-11 00:00:00,1.10892,1.11023,1.10534,1.10815,90637.64999163151,ASK
2021-03-12 00:00:00,1.10813,1.11189,1.10777,1.11189,82354.15006911755,ASK
2021-03-14 00:00:00,1.11189,1.11189,1.11002,1.1108,5779.839978218079,ASK
2021-03-15 00:00:00,1.11081,1.11085,1.10613,1.10645,80867.59004718065,ASK
2021-03-16 00:00:00,1.10645,1.10759,1.1006,1.10106,78296.07008863986,ASK
2021-03-17 00:00:00,1.10103,1.10618,1.10098,1.10516,84067.24992334843,ASK
2021-03-18 00:00:00,1.10513,1.10835,1.10304,1.10535,99986.98008918762,ASK
2021-03-19 00:00:00,1.10533,1.10785,1.10412,1.10682,77461.28999483585,ASK
2021-03-21 00:00:00,1.10682,1.10682,1.10465,1.10531,3339.1200135946274,ASK
2021-03-22 00:00:00,1.10528,1.10638,1.10082,1.10194,70080.3500649929,ASK
2021-03-23 00:00:00,1.10193,1.10803,1.10193,1.10658,76726.05001139641,ASK
2021-03-24 00:00:00,1.10649,1.10764,1.10508,1.10579,70288.12997722626,ASK
2021-03-25 00:00:00,1.10577,1.10738,1.1043,1.10652,78631.67992210388,ASK
2021-03-26 00:00:00,1.10651,1.10949,1.10634,1.10782,65008.3099064827,ASK
2021-03-28 00:00:00,1.10782,1.10788,1.10718,1.10762,3089.929995879531,ASK
2021-03-29 00:00:00,1.10759,1.10787,1.10378,1.10519,62426.73003870249,ASK
2021-03-30 00:00:00,1.10518,1.10684,1.10351,1.10426,57971.289986014366,ASK
2021-03-31 00:00:00,1.10425,1.10917,1.10413,1.10704,70254.34994852543,ASK
2021-04-01 00:00:00,1.10703,1.11187,1.10691,1.10969,69376.9798772335,ASK
2021-04-02 00:00:00,1.10968,1.11123,1.10736,1.11007,30957.750080555677,ASK
2021-04-04 00:00:00,1.11007,1.11007,1.10855,1.10872,5455.959979176521,ASK
2021-04-05 00:00:00,1.10869,1.1095,1.10504,1.10626,40393.40994775295,ASK
2021-04-06 00:00:00,1.10623,1.1088,1.10449,1.10538,62666.57993352413,ASK
2021-04-07 00:00:00,1.10537,1.10572,1.10236,1.10358,62377.44998669624,ASK
2021-04-08 00:00:00,1.10357,1.10412,1.10062,1.10135,53158.67000353336,ASK
2021-04-09 00:00:00,1.10132,1.1019,1.09933,1.10078,69067.95986759663,ASK
2021-04-11 00:00:00,1.10078,1.10253,1.10057,1.10137,3080.249986708164,ASK
2021-04-12 00:00:00,1.1013,1.10158,1.09755,1.09882,47371.41999696195,ASK
2021-04-13 00:00:00,1.09882,1.10136,1.09849,1.10021,57498.46996307373,ASK
2021-04-14 00:00:00,1.1002,1.10614,1.09957,1.10587,60675.07997894287,ASK
2021-04-15 00:00:00,1.10585,1.10643,1.10305,1.10363,64716.490102529526,ASK
2021-04-19 00:00:00,1.10195,1.10284,1.09935,1.1019,58833.84001863003,ASK
2021-04-20 00:00:00,1.10189,1.10482,1.10102,1.10234,53268.37005072832,ASK
2021-04-21 00:00:00,1.10235,1.10422,1.10093,1.1036,50837.8299973011,ASK
2021-04-22 00:00:00,1.10358,1.10472,1.10144,1.10203,60276.00002515316,ASK
2021-04-23 00:00:00,1.10202,1.10611,1.10174,1.10611,51968.50014817715,ASK
2021-04-25 00:00:00,1.10611,1.10611,1.1048,1.10509,1886.4599968791008,ASK
2021-04-26 00:00:00,1.10507,1.10713,1.10431,1.10498,49393.21999502182,ASK
2021-04-27 00:00:00,1.10497,1.10631,1.10245,1.10511,53638.52004349232,ASK
2021-04-28 00:00:00,1.1051,1.10756,1.10214,1.10309,68620.57007521391,ASK
2021-04-29 00:00:00,1.10311,1.10429,1.10126,1.10211,68174.8500161171,ASK
2021-04-30 00:00:00,1.10211,1.10231,1.09749,1.09801,63800.19009757042,ASK
2021-05-02 00:00:00,1.09801,1.0989,1.09753,1.09808,1801.3400022387505,ASK
2021-05-03 00:00:00,1.09809,1.10179,1.09789,1.09936,57703.280101537704,ASK
2021-05-04 00:00:00,1.09935,1.10113,1.09678,1.09775,67839.11999180913,ASK
2021-05-05 00:00:00,1.09777,1.09899,1.09536,1.09651,65298.14998960495,ASK
