Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,0.89418,0.89641,0.89418,0.89547,4531.909984230995,ASK
2021-01-04 00:00:00,0.89541,0.90491,0.89442,0.90298,141383.41005718708,ASK
2021-01-05 00:00:00,0.90293,0.90525,0.90141,0.90261,154278.52975535393,ASK
2021-01-06 00:00:00,0.90259,0.90846,0.90179,0.90572,179739.3398718834,ASK
2021-01-07 00:00:00,0.90568,0.90772,0.90157,0.90434,140702.70008975267,ASK
2021-01-08 00:00:00,0.90429,0.90459,0.89936,0.90176,158593.40990829468,ASK
2021-01-10 00:00:00,0.90176,0.9026,0.90089,0.90185,5280.150015562773,ASK
2021-01-11 00:00:00,0.90157,0.90365,0.89889,0.89936,121427.89017585665,ASK
2021-01-12 00:00:00,0.89932,0.89957,0.89209,0.89336,138057.6199811697,ASK
2021-01-13 00:00:00,0.89336,0.89346,0.8884,0.89123,127119.39997506142,ASK
2021-01-14 00:00:00,0.89121,0.89163,0.88697,0.88807,135068.16001868248,ASK
2021-01-15 00:00:00,0.88804,0.89069,0.88661,0.88914,122242.2198548317,ASK
2021-01-17 00:00:00,0.88914,0.88951,0.88844,0.88929,4668.310010835528,ASK
2021-01-18 00:00:00,0.88919,0.89246,0.88868,0.88937,95254.9299750328,ASK
2021-01-19 00:00:00,0.88926,0.89186,0.88842,0.88975,106122.09996652603,ASK
2021-01-20 00:00:00,0.88973,0.89038,0.8838,0.88649,116669.80007600784,ASK
2021-01-21 00:00:00,0.88648,0.88691,0.88303,0.88622,115226.98019981384,ASK
2021-01-22 00:00:00,0.88621,0.89181,0.88607,0.89003,103517.70996308327,ASK
2021-01-24 00:00:00,0.89003,0.89003,0.88892,0.88915,2351.739992618561,ASK
2021-01-25 00:00:00,0.88908,0.88952,0.88688,0.88794,116327.88012480736,ASK
2021-01-26 00:00:00,0.88794,0.89044,0.88475,0.88527,114692.85008358955,ASK
2021-01-27 00:00:00,0.88524,0.88574,0.88128,0.88548,150335.7700266242,ASK
2021-01-28 00:00:00,0.88537,0.8884,0.88275,0.88321,141462.69996404648,ASK
2021-01-29 00:00:00,0.88318,0.88698,0.8826,0.88605,147797.40019536018,ASK
2021-01-31 00:00:00,0.88605,0.88605,0.88479,0.88518,4848.94000184536,ASK
2021-02-01 00:00:00,0.88511,0.88518,0.88049,0.88247,119325.88995110989,ASK
2021-02-02 00:00:00,0.88245,0.88345,0.87958,0.88135,116053.40006256104,ASK
2021-02-03 00:00:00,0.88129,0.88261,0.87978,0.88222,106272.40002965927,ASK
2021-02-04 00:00:00,0.88221,0.88391,0.8749,0.87532,115720.68990635872,ASK
2021-02-05 00:00:00,0.87527,0.87766,0.8739,0.87759,100931.60982942581,ASK
2021-02-07 00:00:00,0.87759,0.87777,0.87665,0.87712,7785.199988365173,ASK
2021-02-08 00:00:00,0.87708,0.87925,0.87621,0.87689,92270.86991524696,ASK
2021-02-09 00:00:00,0.87687,0.87975,0.87625,0.87708,111520.57990813255,ASK
2021-02-10 00:00:00,0.87703,0.87802,0.87518,0.87631,98772.48995149136,ASK
