Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,126.202,126.522,126.202,126.487,10392.830037221313,ASK
2021-01-04 00:00:00,126.482,126.785,126.103,126.377,235768.30994164944,ASK
2021-01-05 00:00:00,126.375,126.549,126.054,126.303,233255.0598731041,ASK
2021-01-06 00:00:00,126.296,127.215,126.144,127.135,311557.0799431801,ASK
2021-01-07 00:00:00,127.118,127.494,126.919,127.371,240535.08017507195,ASK
2021-01-08 00:00:00,127.368,127.461,126.82,127.119,263994.9102296829,ASK
2021-01-10 00:00:00,127.119,127.119,126.813,126.872,10586.620063662529,ASK
2021-01-11 00:00:00,126.856,126.994,126.559,126.652,206643.570186615,ASK
2021-01-12 00:00:00,126.648,126.861,126.543,126.671,203169.5901851654,ASK
2021-01-13 00:00:00,126.668,126.691,126.217,126.291,208879.23001778126,ASK
2021-01-14 00:00:00,126.28,126.531,125.931,126.185,224401.9003200531,ASK
2021-01-15 00:00:00,126.179,126.185,125.406,125.45,189045.3899421692,ASK
2021-01-17 00:00:00,125.45,125.496,125.388,125.406,9214.070001482964,ASK
2021-01-18 00:00:00,125.396,125.425,125.092,125.262,171146.88991427422,ASK
2021-01-19 00:00:00,125.26,126.204,125.243,126.132,181419.19970977306,ASK
2021-01-20 00:00:00,126.132,126.193,125.271,125.465,179144.14003494382,ASK
2021-01-21 00:00:00,125.462,125.963,125.384,125.937,179518.45008707047,ASK
2021-01-22 00:00:00,125.928,126.4,125.921,126.331,153806.73993110657,ASK
2021-01-24 00:00:00,126.331,126.385,126.279,126.298,4771.32002428174,ASK
2021-01-25 00:00:00,126.289,126.368,125.814,126.009,164278.59006473422,ASK
2021-01-26 00:00:00,126.004,126.161,125.693,126.026,158525.42995214462,ASK
2021-01-27 00:00:00,126.018,126.191,125.603,126.056,218701.40966016054,ASK
2021-01-28 00:00:00,126.049,126.655,126.011,126.44,227003.32039055228,ASK
2021-01-29 00:00:00,126.433,127.334,126.368,127.131,228745.5200033188,ASK
2021-01-31 00:00:00,127.131,127.172,126.914,126.954,11121.15000295639,ASK
2021-02-01 00:00:00,126.95,127.045,126.524,126.577,179484.47006374598,ASK
2021-02-02 00:00:00,126.577,126.826,126.271,126.44,170396.3999531865,ASK
2021-02-03 00:00:00,126.426,126.522,126.148,126.438,142506.9099843204,ASK
2021-02-04 00:00:00,126.437,126.46,126.102,126.341,145496.46008482575,ASK
2021-02-05 00:00:00,126.342,127.003,126.167,127.003,152319.69002485275,ASK
2021-02-07 00:00:00,127.003,127.052,126.857,126.998,8523.489996433258,ASK
2021-02-08 00:00:00,126.995,127.125,126.652,126.818,140612.87005653977,ASK
2021-02-09 00:00:00,126.813,126.845,126.437,126.736,166269.92994621396,ASK
2021-02-10 00:00:00,126.731,127.074,126.651,126.802,155596.9599712491,ASK
2021-02-11 00:00:00,126.795,127.162,126.706,127.082,114586.50000062585,ASK
2021-02-12 00:00:00,127.075,127.305,126.984,127.227,116475.22005987167,ASK
2021-02-14 00:00:00,127.227,127.39,127.221,127.363,7816.340041473508,ASK
2021-02-15 00:00:00,127.35,127.96,127.288,127.849,94978.64985075593,ASK
2021-02-16 00:00:00,127.843,128.444,127.843,128.318,158129.09007382393,ASK
2021-02-17 00:00:00,128.283,128.35,127.313,127.521,153440.2999702692,ASK
2021-02-18 00:00:00,127.509,127.828,127.332,127.763,129979.33002257347,ASK
2021-02-19 00:00:00,127.762,128.184,127.655,127.796,126803.31993985176,ASK
2021-02-21 00:00:00,127.796,127.99,127.721,127.973,5591.719988822937,ASK
2021-02-22 00:00:00,127.966,128.235,127.508,127.74,159368.03000229597,ASK
2021-02-23 00:00:00,127.736,128.05,127.689,127.951,148038.84023308754,ASK
2021-02-24 00:00:00,127.947,128.952,127.934,128.952,196225.45015138388,ASK
2021-02-25 00:00:00,128.948,129.976,128.879,129.358,270543.5499383211,ASK
2021-02-26 00:00:00,129.353,129.469,128.564,128.65,314863.1899719238,ASK
2021-02-28 00:00:00,128.65,128.801,128.548,128.761,7987.909981012344,ASK
