Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,1.7017,1.70327,1.70103,1.70257,7396.359986543655,ASK
2021-01-04 00:00:00,1.70254,1.7127,1.6996,1.7073,190451.10998296738,ASK
2021-01-05 00:00:00,1.70715,1.7088,1.69429,1.69575,180662.88033652306,ASK
2021-01-06 00:00:00,1.69553,1.69746,1.68656,1.68937,245426.64983558655,ASK
2021-01-07 00:00:00,1.68932,1.69698,1.68874,1.68915,192400.81025123596,ASK
2021-01-08 00:00:00,1.68886,1.69261,1.68465,1.69016,202170.5098979473,ASK
2021-01-10 00:00:00,1.69016,1.69368,1.68946,1.69316,5462.309980422258,ASK
2021-01-11 00:00:00,1.69271,1.69831,1.69053,1.69547,159609.36016893387,ASK
2021-01-12 00:00:00,1.69545,1.69659,1.68813,1.68922,157517.2999548912,ASK
2021-01-13 00:00:00,1.68921,1.69668,1.68751,1.69177,150272.7899786234,ASK
2021-01-14 00:00:00,1.69157,1.69282,1.68131,1.68389,155448.71978497505,ASK
2021-01-15 00:00:00,1.68383,1.69755,1.68243,1.69442,151544.08002185822,ASK
2021-01-17 00:00:00,1.69442,1.69547,1.69177,1.69547,4867.639969408512,ASK
2021-01-18 00:00:00,1.69546,1.70109,1.69331,1.69766,114177.86014723778,ASK
2021-01-19 00:00:00,1.69758,1.70728,1.69405,1.70296,141752.60984790325,ASK
2021-01-20 00:00:00,1.70286,1.70547,1.68418,1.68655,141858.37980151176,ASK
2021-01-21 00:00:00,1.68642,1.69128,1.68166,1.68663,143180.12005645037,ASK
2021-01-22 00:00:00,1.68654,1.69766,1.68544,1.69594,139563.71015691757,ASK
2021-01-24 00:00:00,1.69594,1.69756,1.69372,1.69485,3496.2800111174583,ASK
2021-01-25 00:00:00,1.69472,1.69538,1.68401,1.68687,154785.5600478649,ASK
2021-01-26 00:00:00,1.68688,1.69068,1.67796,1.68089,137343.60998284817,ASK
2021-01-27 00:00:00,1.68061,1.69506,1.67607,1.69515,221812.3003396988,ASK
2021-01-28 00:00:00,1.69493,1.70449,1.68687,1.68991,194270.07003355026,ASK
2021-01-29 00:00:00,1.68991,1.69254,1.68217,1.69094,215983.5199418068,ASK
2021-01-31 00:00:00,1.69094,1.69536,1.69094,1.69295,7586.059977054596,ASK
