Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,1.22174,1.22528,1.22174,1.2251,7239.568120002747,ASK
2021-01-04 00:00:00,1.22503,1.23082,1.2239,1.2253,229572.76770746708,ASK
2021-01-05 00:00:00,1.22531,1.23048,1.22474,1.22994,184166.97513902187,ASK
2021-01-06 00:00:00,1.2299,1.2349,1.22658,1.23391,275270.59774929285,ASK
2021-01-07 00:00:00,1.23387,1.23439,1.22453,1.22698,201081.5490347743,ASK
2021-01-08 00:00:00,1.22694,1.22809,1.21932,1.22234,207965.90749895573,ASK
2021-01-10 00:00:00,1.22234,1.22352,1.21825,1.21876,11196.591521717608,ASK
2021-01-11 00:00:00,1.21871,1.21992,1.21324,1.21611,166088.20000338554,ASK
2021-01-12 00:00:00,1.21611,1.22094,1.21373,1.22091,150809.8549565673,ASK
2021-01-13 00:00:00,1.22091,1.2222,1.21401,1.21626,149194.79810971022,ASK
2021-01-14 00:00:00,1.21622,1.21773,1.21112,1.21517,174713.6625891328,ASK
2021-01-15 00:00:00,1.2151,1.21622,1.20753,1.20795,153408.22962075472,ASK
2021-01-17 00:00:00,1.20795,1.20864,1.20664,1.20677,5685.284818172455,ASK
2021-01-18 00:00:00,1.20664,1.20861,1.20536,1.20784,107652.59279930592,ASK
2021-01-19 00:00:00,1.20779,1.21447,1.20776,1.21396,131027.0850751251,ASK
2021-01-20 00:00:00,1.21396,1.21574,1.20768,1.21153,130083.41276586056,ASK
2021-01-21 00:00:00,1.2115,1.21703,1.21096,1.2166,139868.88497952372,ASK
2021-01-22 00:00:00,1.21658,1.21882,1.21518,1.21745,125671.35485672951,ASK
2021-01-24 00:00:00,1.21745,1.21745,1.21647,1.21686,3779.49512103945,ASK
2021-01-25 00:00:00,1.21673,1.21832,1.21161,1.21434,146927.62991803885,ASK
2021-01-26 00:00:00,1.21431,1.21752,1.2108,1.21637,145155.15495550632,ASK
2021-01-27 00:00:00,1.21635,1.21692,1.20587,1.21037,194133.69010591507,ASK
2021-01-28 00:00:00,1.2103,1.21417,1.2081,1.21215,184835.7284887284,ASK
2021-01-29 00:00:00,1.21213,1.21558,1.20946,1.21387,186495.2949078083,ASK
2021-01-31 00:00:00,1.21387,1.21387,1.21207,1.21234,6668.629958152771,ASK
2021-02-01 00:00:00,1.21229,1.21354,1.20563,1.20682,160684.34251141548,ASK
2021-02-02 00:00:00,1.2068,1.20872,1.20118,1.20385,147420.28492873907,ASK
2021-02-03 00:00:00,1.20371,1.20498,1.20043,1.20417,127229.05500459671,ASK
2021-02-04 00:00:00,1.20417,1.20428,1.19576,1.19671,122799.62235102803,ASK
2021-02-05 00:00:00,1.19663,1.20501,1.19525,1.20501,126466.82501542568,ASK
2021-02-07 00:00:00,1.20501,1.20512,1.20374,1.20488,18124.23000383377,ASK
2021-02-08 00:00:00,1.20488,1.20635,1.20199,1.20526,101501.86504945904,ASK
2021-02-09 00:00:00,1.20527,1.21214,1.20496,1.21164,128237.36991208792,ASK
2021-02-10 00:00:00,1.21164,1.21427,1.2109,1.21193,124959.65992052853,ASK
2021-02-11 00:00:00,1.21191,1.21489,1.21138,1.21315,89028.07211057842,ASK
2021-02-12 00:00:00,1.2131,1.21333,1.20817,1.21224,86127.90872472525,ASK
2021-02-14 00:00:00,1.21224,1.21254,1.21207,1.21218,3181.3886933624744,ASK
2021-02-15 00:00:00,1.2121,1.21447,1.2117,1.21325,78853.68497157097,ASK
2021-02-16 00:00:00,1.21324,1.2169,1.20863,1.20915,124685.3950092122,ASK
2021-02-17 00:00:00,1.20883,1.20971,1.20235,1.20458,130960.42979487777,ASK
2021-02-18 00:00:00,1.20458,1.20959,1.20359,1.20922,117141.01480734348,ASK
2021-02-19 00:00:00,1.20921,1.21443,1.20825,1.21213,117039.29489213228,ASK
2021-02-21 00:00:00,1.21213,1.21299,1.21152,1.21263,3841.5756956636906,ASK
2021-02-22 00:00:00,1.2125,1.21693,1.20914,1.21649,133214.71622698754,ASK
2021-02-23 00:00:00,1.21642,1.21789,1.21354,1.21519,130926.65243011713,ASK
2021-02-24 00:00:00,1.21509,1.21745,1.21093,1.21705,172016.12218344212,ASK
2021-02-25 00:00:00,1.217,1.22414,1.21563,1.21591,222253.49987834692,ASK
2021-02-26 00:00:00,1.21581,1.21823,1.20624,1.20754,279048.3278837204,ASK
2021-02-28 00:00:00,1.20754,1.20919,1.20719,1.20917,5749.35191988945,ASK
2021-03-01 00:00:00,1.20908,1.21012,1.20278,1.20489,146961.79051324725,ASK
2021-03-02 00:00:00,1.20487,1.20943,1.19918,1.20853,161553.22496700287,ASK
2021-03-03 00:00:00,1.20853,1.21102,1.2043,1.20494,188139.556291759,ASK
2021-03-04 00:00:00,1.20467,1.20629,1.19609,1.19675,229529.809782207,ASK
2021-03-05 00:00:00,1.19673,1.19686,1.18935,1.192,236062.19969177246,ASK
2021-03-07 00:00:00,1.192,1.19315,1.19182,1.19265,6756.308329463005,ASK
2021-03-08 00:00:00,1.19266,1.19321,1.18444,1.18512,183704.5651446879,ASK
2021-03-09 00:00:00,1.18513,1.19149,1.18357,1.18979,189706.2748460546,ASK
2021-03-10 00:00:00,1.1897,1.19298,1.18691,1.19248,158703.58494639397,ASK
2021-03-11 00:00:00,1.19245,1.199,1.19159,1.19821,168495.92499563843,ASK
2021-03-12 00:00:00,1.19812,1.19883,1.19102,1.19562,149390.1951649189,ASK
2021-03-14 00:00:00,1.19562,1.19562,1.1944,1.19505,5809.179995894432,ASK
2021-03-15 00:00:00,1.19504,1.19662,1.19112,1.19265,121536.22674200684,ASK
2021-03-16 00:00:00,1.19266,1.19519,1.18821,1.19024,125418.03855240345,ASK
2021-03-17 00:00:00,1.19021,1.1987,1.18863,1.19828,132136.35128182173,ASK
2021-03-18 00:00:00,1.19829,1.19886,1.19064,1.1919,180157.57009774446,ASK
2021-03-19 00:00:00,1.19179,1.19363,1.18741,1.19049,139482.38023412228,ASK
2021-03-21 00:00:00,1.19049,1.19049,1.18741,1.18842,5965.608668267727,ASK
2021-03-22 00:00:00,1.18839,1.19468,1.18748,1.1933,113506.5985058546,ASK
2021-03-23 00:00:00,1.19325,1.19405,1.18363,1.184,118826.28500926495,ASK
2021-03-24 00:00:00,1.184,1.1851,1.18092,1.18133,120870.49486106634,ASK
2021-03-25 00:00:00,1.18133,1.18278,1.17619,1.1776,130304.27323555946,ASK
2021-03-26 00:00:00,1.17759,1.18044,1.17719,1.17952,95700.54008541256,ASK
2021-03-28 00:00:00,1.17952,1.17952,1.17859,1.17878,3110.6549993753433,ASK
2021-03-29 00:00:00,1.17877,1.17932,1.17609,1.1769,112866.2170631662,ASK
2021-03-30 00:00:00,1.17686,1.1774,1.17114,1.17235,87895.66013145447,ASK
2021-03-31 00:00:00,1.17235,1.17586,1.17043,1.17276,101356.29823410511,ASK
2021-04-01 00:00:00,1.17274,1.17826,1.17129,1.17774,97490.089995116,ASK
2021-04-02 00:00:00,1.17776,1.17864,1.17494,1.17645,43566.69552055001,ASK
2021-04-04 00:00:00,1.17645,1.17679,1.1756,1.17682,5147.694704890251,ASK
2021-04-05 00:00:00,1.17677,1.18191,1.1738,1.18173,54412.785004392266,ASK
2021-04-06 00:00:00,1.1817,1.18777,1.17953,1.18741,91845.74010399729,ASK
2021-04-07 00:00:00,1.1874,1.19137,1.1861,1.18726,99225.50501966476,ASK
2021-04-08 00:00:00,1.18728,1.19261,1.1861,1.19163,87470.37507874519,ASK
2021-04-09 00:00:00,1.19155,1.19204,1.18672,1.19025,82318.65005493164,ASK
2021-04-11 00:00:00,1.19025,1.19043,1.18924,1.18979,3981.6225017160177,ASK
2021-04-12 00:00:00,1.1896,1.19192,1.18713,1.19125,85008.69495970011,ASK
2021-04-13 00:00:00,1.19119,1.19557,1.18783,1.19547,109043.73992256075,ASK
2021-04-14 00:00:00,1.19544,1.19872,1.19513,1.19836,95333.71998631954,ASK
2021-04-15 00:00:00,1.19834,1.19931,1.19563,1.19696,98178.94489347935,ASK
2021-04-16 00:00:00,1.19694,1.19933,1.19506,1.19888,80092.87992811203,ASK
2021-04-18 00:00:00,1.19888,1.19888,1.19683,1.19701,2902.066685974598,ASK
2021-04-19 00:00:00,1.19691,1.20479,1.19427,1.20427,93680.17012292147,ASK
2021-04-20 00:00:00,1.20428,1.20791,1.20226,1.20329,92292.63002222031,ASK
2021-04-21 00:00:00,1.20327,1.20429,1.19987,1.20376,79526.37992835045,ASK
2021-04-22 00:00:00,1.20374,1.20687,1.19938,1.20148,111506.80484826118,ASK
2021-04-23 00:00:00,1.20147,1.21,1.20131,1.20996,81305.6599875465,ASK
2021-04-25 00:00:00,1.20996,1.20996,1.2089,1.20911,2923.4500002264977,ASK
2021-04-26 00:00:00,1.20897,1.21165,1.20612,1.20803,81338.47986531258,ASK
2021-04-27 00:00:00,1.20795,1.20932,1.2057,1.20898,77490.70492857695,ASK
2021-04-28 00:00:00,1.20894,1.21356,1.20563,1.21356,101530.88012838364,ASK
2021-04-29 00:00:00,1.21353,1.21492,1.21023,1.21253,93961.32351385057,ASK
2021-04-30 00:00:00,1.21248,1.21262,1.20168,1.20224,92920.66998803616,ASK
2021-05-02 00:00:00,1.20224,1.20335,1.20224,1.20278,3405.30109333992,ASK
2021-05-03 00:00:00,1.20274,1.20756,1.20132,1.20593,76041.06995677948,ASK
2021-05-04 00:00:00,1.20593,1.20602,1.19991,1.20148,97412.55005508661,ASK
2021-05-05 00:00:00,1.20148,1.20267,1.19862,1.20079,83150.66396615654,ASK
2021-05-06 00:00:00,1.20078,1.20702,1.19933,1.2066,85116.90994397551,ASK
2021-05-07 00:00:00,1.20654,1.2171,1.2053,1.21696,113311.62990522385,ASK
2021-05-09 00:00:00,1.21696,1.21769,1.21614,1.21727,4364.049996197224,ASK
2021-05-10 00:00:00,1.21707,1.21747,1.21279,1.21407,90652.03006666899,ASK
2021-05-11 00:00:00,1.21408,1.21798,1.21232,1.21445,93663.6449457407,ASK
2021-05-12 00:00:00,1.21444,1.21479,1.20658,1.2078,144844.69003772736,ASK
2021-05-13 00:00:00,1.20778,1.21054,1.20515,1.20775,124631.12021052837,ASK
2021-05-14 00:00:00,1.2077,1.21478,1.2071,1.2146,90762.25003555417,ASK
2021-05-16 00:00:00,1.2146,1.21513,1.21405,1.21502,1925.413388133049,ASK
2021-05-17 00:00:00,1.215,1.21687,1.21264,1.21575,76416.40501335263,ASK
2021-05-18 00:00:00,1.21565,1.22312,1.21538,1.22227,93462.33007009327,ASK
2021-05-19 00:00:00,1.22227,1.22451,1.21601,1.2171,106270.04010277987,ASK
2021-05-20 00:00:00,1.21709,1.22302,1.21692,1.22264,94521.69992929697,ASK
2021-05-21 00:00:00,1.22253,1.22393,1.21609,1.21832,95621.98996849358,ASK
2021-05-23 00:00:00,1.21832,1.2185,1.21724,1.21813,4054.1999956965446,ASK
2021-05-24 00:00:00,1.21808,1.22299,1.21751,1.22145,88646.22486115247,ASK
2021-05-25 00:00:00,1.22144,1.2266,1.22117,1.22482,95535.08506266028,ASK
2021-05-26 00:00:00,1.22473,1.22629,1.21821,1.21923,92474.33995257318,ASK
2021-05-27 00:00:00,1.21922,1.22144,1.21754,1.21933,88636.91022443771,ASK
2021-05-28 00:00:00,1.21932,1.22051,1.21328,1.21942,89897.49011975527,ASK
2021-05-30 00:00:00,1.21942,1.22018,1.21894,1.21899,3578.945012450218,ASK
2021-05-31 00:00:00,1.21897,1.22344,1.21835,1.22328,50088.94696650654,ASK
2021-06-01 00:00:00,1.22326,1.22543,1.2212,1.22178,79203.10495531559,ASK
2021-06-02 00:00:00,1.22177,1.22267,1.21642,1.22102,80924.01508434117,ASK
2021-06-03 00:00:00,1.22098,1.22138,1.21185,1.21308,89899.96001501381,ASK
2021-06-04 00:00:00,1.21302,1.21843,1.21042,1.21692,89856.44005656242,ASK
2021-06-06 00:00:00,1.21692,1.21692,1.21628,1.21676,2047.1750065088272,ASK
2021-06-07 00:00:00,1.21668,1.22017,1.21451,1.21909,55472.48736554384,ASK
2021-06-08 00:00:00,1.21907,1.21941,1.21645,1.21732,89355.39494456351,ASK
2021-06-09 00:00:00,1.21728,1.22167,1.21717,1.21788,57404.850058078766,ASK
2021-06-10 00:00:00,1.21786,1.21916,1.21436,1.21731,91213.41512790322,ASK
2021-06-11 00:00:00,1.21729,1.21929,1.20928,1.21096,64959.00000357628,ASK
2021-06-13 00:00:00,1.21096,1.21135,1.21055,1.21099,3315.77349960804,ASK
2021-06-14 00:00:00,1.21099,1.213,1.20944,1.21221,51347.25006276369,ASK
2021-06-15 00:00:00,1.21222,1.21469,1.21014,1.21249,64223.50492246449,ASK
2021-06-16 00:00:00,1.2125,1.21344,1.19867,1.19957,103761.83000814915,ASK
2021-06-17 00:00:00,1.19952,1.2006,1.1892,1.19134,134620.33987988532,ASK
2021-06-18 00:00:00,1.19133,1.19252,1.18474,1.18677,126727.14489173889,ASK
2021-06-20 00:00:00,1.18677,1.18755,1.18584,1.18709,6430.794991135597,ASK
2021-06-21 00:00:00,1.18706,1.19211,1.18479,1.19124,135605.53991212696,ASK
2021-06-22 00:00:00,1.19122,1.19525,1.18811,1.19371,97636.8201212287,ASK
2021-06-23 00:00:00,1.19366,1.19696,1.19118,1.19301,92408.45991545916,ASK
2021-06-24 00:00:00,1.193,1.19565,1.19178,1.19289,85612.96493957192,ASK
2021-06-25 00:00:00,1.19282,1.19743,1.19264,1.19392,75131.76003789902,ASK
2021-06-27 00:00:00,1.19392,1.19419,1.19337,1.19419,3316.0800030231476,ASK
2021-06-28 00:00:00,1.19418,1.1944,1.19025,1.1929,84327.46013146639,ASK
2021-06-29 00:00:00,1.19291,1.19291,1.18779,1.19006,100710.49983024597,ASK
2021-06-30 00:00:00,1.19006,1.19091,1.18452,1.18562,96783.8199083209,ASK
2021-07-01 00:00:00,1.18563,1.18835,1.18375,1.18464,100757.77829909325,ASK
2021-07-02 00:00:00,1.18458,1.18741,1.18076,1.18673,96276.57979686558,ASK
2021-07-04 00:00:00,1.18673,1.18722,1.18559,1.1856,5060.579984128475,ASK
2021-07-05 00:00:00,1.18559,1.18801,1.18515,1.18635,58965.529999911785,ASK
2021-07-06 00:00:00,1.18628,1.18943,1.1807,1.18226,100940.15500718355,ASK
2021-07-07 00:00:00,1.18226,1.18355,1.17817,1.17943,104531.84300547838,ASK
2021-07-08 00:00:00,1.17933,1.18666,1.17837,1.18467,125008.72688107938,ASK
2021-07-09 00:00:00,1.18467,1.18813,1.18252,1.18802,100022.56001615524,ASK
2021-07-11 00:00:00,1.18802,1.18812,1.18679,1.18727,4045.347602069378,ASK
2021-07-12 00:00:00,1.18726,1.188,1.18363,1.18634,75331.84746038914,ASK
2021-07-13 00:00:00,1.18632,1.18752,1.17723,1.17752,91979.58884368837,ASK
2021-07-14 00:00:00,1.1775,1.18397,1.17721,1.18335,85680.80474990606,ASK
2021-07-15 00:00:00,1.18331,1.18505,1.17965,1.18124,76460.26911437511,ASK
2021-07-16 00:00:00,1.18117,1.1822,1.17924,1.18067,61851.22998714447,ASK
2021-07-18 00:00:00,1.18067,1.18138,1.18039,1.18133,2836.651524543762,ASK
2021-07-19 00:00:00,1.18129,1.18229,1.17638,1.17927,81120.63016229868,ASK
2021-07-20 00:00:00,1.17919,1.1802,1.17559,1.1782,89667.2199536264,ASK
2021-07-21 00:00:00,1.17815,1.18047,1.17521,1.17926,71687.1700303927,ASK
2021-07-22 00:00:00,1.17928,1.18299,1.17575,1.17731,116440.00525710732,ASK
2021-07-23 00:00:00,1.17728,1.17861,1.17548,1.17733,66456.58991577476,ASK
2021-07-25 00:00:00,1.17733,1.17774,1.17707,1.17733,1362.7343053221703,ASK
2021-07-26 00:00:00,1.17734,1.18162,1.17636,1.1806,77608.2123438865,ASK
2021-07-27 00:00:00,1.1805,1.1841,1.17701,1.18208,71757.6148416996,ASK
2021-07-28 00:00:00,1.18207,1.18494,1.17726,1.18461,94804.99498534203,ASK
2021-07-29 00:00:00,1.18458,1.18946,1.1841,1.18906,67264.11094892025,ASK
2021-07-30 00:00:00,1.18905,1.19081,1.18518,1.18743,64810.86004169285,ASK
2021-08-01 00:00:00,1.18743,1.18743,1.18625,1.18665,1775.0464974194765,ASK
2021-08-02 00:00:00,1.18665,1.1896,1.18592,1.18742,55346.46001595259,ASK
2021-08-03 00:00:00,1.18743,1.18933,1.18538,1.18698,56232.330023765564,ASK
2021-08-04 00:00:00,1.18695,1.18997,1.18329,1.18376,65230.4499245286,ASK
2021-08-05 00:00:00,1.18375,1.18558,1.18282,1.18341,59409.43000346422,ASK
2021-08-06 00:00:00,1.18335,1.18331,1.17546,1.17639,65433.189919531345,ASK
2021-08-08 00:00:00,1.17639,1.17673,1.17425,1.17492,6511.715012013912,ASK
2021-08-09 00:00:00,1.17481,1.17689,1.1735,1.17368,51388.19496482611,ASK
2021-08-10 00:00:00,1.17363,1.17425,1.17098,1.17204,56824.40008878708,ASK
2021-08-11 00:00:00,1.17199,1.17526,1.17062,1.17421,57527.54514363408,ASK
2021-08-12 00:00:00,1.17421,1.17483,1.17238,1.17361,43195.553467549384,ASK
2021-08-13 00:00:00,1.17359,1.18039,1.17305,1.17966,36671.809935085475,ASK
2021-08-15 00:00:00,1.17966,1.18012,1.1792,1.17947,2290.46250603348,ASK
2021-08-16 00:00:00,1.17943,1.18009,1.17674,1.1778,41328.640045538545,ASK
2021-08-17 00:00:00,1.17778,1.17839,1.17022,1.17099,64153.69997227192,ASK
2021-08-18 00:00:00,1.17095,1.17344,1.16938,1.17038,66312.27995723486,ASK
2021-08-19 00:00:00,1.1703,1.17039,1.16659,1.16767,62807.37235207856,ASK
2021-08-20 00:00:00,1.16767,1.17046,1.16641,1.17041,47221.959967017174,ASK
2021-08-22 00:00:00,1.17041,1.17041,1.16931,1.16974,1825.909999847412,ASK
2021-08-23 00:00:00,1.16972,1.17503,1.16953,1.17446,48768.1900177151,ASK
2021-08-24 00:00:00,1.17443,1.17647,1.17274,1.1754,42549.594974815845,ASK
2021-08-25 00:00:00,1.17531,1.17744,1.17263,1.17722,53556.520040765405,ASK
2021-08-26 00:00:00,1.1772,1.17789,1.17461,1.17541,55865.670015230775,ASK
2021-08-27 00:00:00,1.1754,1.18017,1.1735,1.17996,82951.37983202934,ASK
2021-08-29 00:00:00,1.17996,1.1801,1.17944,1.17986,1277.5099989175797,ASK
2021-08-30 00:00:00,1.17986,1.18099,1.17828,1.17967,41632.65497792512,ASK
2021-08-31 00:00:00,1.17964,1.1844,1.17956,1.18108,65054.4699895978,ASK
2021-09-01 00:00:00,1.18103,1.18564,1.17938,1.18411,65332.01472085714,ASK
2021-09-02 00:00:00,1.1841,1.18771,1.18344,1.18739,48878.67000092566,ASK
2021-09-03 00:00:00,1.1874,1.19085,1.1866,1.18811,74569.16019742936,ASK
2021-09-05 00:00:00,1.18811,1.18867,1.18796,1.18859,1858.9249963760376,ASK
2021-09-06 00:00:00,1.18859,1.18853,1.1856,1.18737,45878.87607166171,ASK
2021-09-07 00:00:00,1.18734,1.1885,1.18376,1.18434,70181.40996295214,ASK
2021-09-08 00:00:00,1.18432,1.18513,1.18022,1.1819,77747.22994041443,ASK
2021-09-09 00:00:00,1.18191,1.18406,1.18053,1.18242,79711.02505660057,ASK
2021-09-10 00:00:00,1.18235,1.18507,1.18099,1.18177,64931.55004429817,ASK
2021-09-12 00:00:00,1.18177,1.18192,1.18089,1.18118,1703.5999967828393,ASK
2021-09-13 00:00:00,1.18117,1.18172,1.17703,1.18099,63151.10495907068,ASK
2021-09-14 00:00:00,1.18099,1.1845,1.18003,1.18028,67381.12501487881,ASK
2021-09-15 00:00:00,1.18027,1.18314,1.17994,1.18193,59589.030067138374,ASK
2021-09-16 00:00:00,1.18192,1.18205,1.17507,1.17651,63665.69442772865,ASK
2021-09-17 00:00:00,1.17652,1.17886,1.17248,1.17264,59734.2499249354,ASK
2021-09-19 00:00:00,1.17264,1.17343,1.17235,1.17297,1347.5800010561943,ASK
2021-09-20 00:00:00,1.17296,1.17362,1.17002,1.17276,86270.97007635236,ASK
2021-09-21 00:00:00,1.1727,1.17486,1.17151,1.17233,91611.30009648949,ASK
2021-09-22 00:00:00,1.17232,1.17529,1.16846,1.16874,94820.71996235847,ASK
2021-09-23 00:00:00,1.16874,1.175,1.16837,1.17405,79039.78995209932,ASK
2021-09-24 00:00:00,1.17402,1.17471,1.17008,1.17219,56465.250016987324,ASK
2021-09-26 00:00:00,1.17219,1.17288,1.17176,1.1724,3857.514984846115,ASK
2021-09-27 00:00:00,1.1723,1.17253,1.16848,1.16961,101097.04998224229,ASK
2021-09-28 00:00:00,1.1696,1.17034,1.16685,1.16863,103251.45022165775,ASK
2021-09-29 00:00:00,1.16863,1.16901,1.15896,1.16018,112674.96992179751,ASK
2021-09-30 00:00:00,1.16018,1.16098,1.15627,1.15744,98397.28498905897,ASK
2021-10-01 00:00:00,1.15739,1.16071,1.15631,1.16011,87725.52009814978,ASK
2021-10-03 00:00:00,1.16011,1.16111,1.15946,1.16072,2439.770003795624,ASK
2021-10-04 00:00:00,1.1607,1.16397,1.15879,1.16171,64013.43160790205,ASK
2021-10-05 00:00:00,1.16165,1.16202,1.15807,1.15959,70127.32806432247,ASK
2021-10-06 00:00:00,1.15958,1.15975,1.15294,1.15554,82598.12496078014,ASK
2021-10-07 00:00:00,1.1555,1.15715,1.15476,1.15595,65820.65505748987,ASK
2021-10-08 00:00:00,1.15594,1.15838,1.15416,1.1577,69221.28008025885,ASK
2021-10-10 00:00:00,1.1577,1.1577,1.15639,1.1566,2984.489986181259,ASK
2021-10-11 00:00:00,1.15657,1.15863,1.1548,1.15541,55389.989972904325,ASK
2021-10-12 00:00:00,1.15536,1.157,1.15244,1.15318,55839.66993737221,ASK
2021-10-13 00:00:00,1.15307,1.15994,1.15302,1.15972,73007.82002991438,ASK
2021-10-14 00:00:00,1.1597,1.16242,1.15842,1.15912,74031.86002328247,ASK
2021-10-15 00:00:00,1.15905,1.16188,1.15882,1.1604,61062.75999814272,ASK
2021-10-17 00:00:00,1.1604,1.16046,1.15949,1.15976,3139.229987323284,ASK
2021-10-18 00:00:00,1.15966,1.16225,1.1572,1.1614,73083.99004606158,ASK
2021-10-19 00:00:00,1.16137,1.16689,1.16135,1.1632,66255.08994245529,ASK
2021-10-20 00:00:00,1.16317,1.16586,1.1617,1.16531,71772.88003110886,ASK
2021-10-21 00:00:00,1.16525,1.16673,1.16197,1.16256,61161.270026028156,ASK
2021-10-22 00:00:00,1.16251,1.16539,1.16214,1.16474,86162.65000790358,ASK
2021-10-24 00:00:00,1.16474,1.16474,1.16359,1.16393,1347.8599990606308,ASK
2021-10-25 00:00:00,1.16395,1.16651,1.15908,1.16091,64793.21965445578,ASK
2021-10-26 00:00:00,1.1609,1.16251,1.15851,1.15966,62856.35002885759,ASK
2021-10-27 00:00:00,1.15965,1.16246,1.15851,1.15992,75522.00003681332,ASK
2021-10-28 00:00:00,1.15986,1.16909,1.15824,1.16835,94632.93000769615,ASK
2021-10-29 00:00:00,1.16824,1.16901,1.15353,1.15621,89092.6398897171,ASK
2021-10-31 00:00:00,1.15621,1.15658,1.15556,1.15565,2601.4299815893173,ASK
2021-11-01 00:00:00,1.15566,1.16094,1.15462,1.15998,74296.07952231169,ASK
2021-11-02 00:00:00,1.15998,1.16129,1.15754,1.15792,63258.45993962884,ASK
2021-11-03 00:00:00,1.15793,1.16168,1.15625,1.16158,85660.03244760633,ASK
2021-11-04 00:00:00,1.16157,1.16158,1.15283,1.15557,83382.08996021748,ASK
2021-11-05 00:00:00,1.15557,1.15734,1.15134,1.15695,85633.17008066177,ASK
2021-11-07 00:00:00,1.15695,1.15699,1.15587,1.15688,5067.590003430843,ASK
2021-11-08 00:00:00,1.15687,1.15948,1.15507,1.15881,63917.16999799013,ASK
2021-11-09 00:00:00,1.15882,1.16078,1.157,1.15943,68783.76997685432,ASK
2021-11-10 00:00:00,1.15943,1.15954,1.14765,1.14864,98082.10492340475,ASK
2021-11-11 00:00:00,1.14858,1.14877,1.14432,1.14481,58314.08745214343,ASK
2021-11-12 00:00:00,1.1448,1.14602,1.14331,1.14475,60294.31500597298,ASK
2021-11-14 00:00:00,1.14475,1.14496,1.14414,1.14415,1265.1499975919724,ASK
2021-11-15 00:00:00,1.14416,1.14641,1.13565,1.13672,76136.67509269714,ASK
2021-11-16 00:00:00,1.13672,1.13859,1.13092,1.13185,98233.99504053593,ASK
2021-11-17 00:00:00,1.13183,1.13319,1.12638,1.13182,93322.18315680325,ASK
2021-11-18 00:00:00,1.13181,1.13746,1.1314,1.13688,90311.47993412614,ASK
2021-11-19 00:00:00,1.13681,1.1369,1.12502,1.12852,125030.94011336565,ASK
2021-11-21 00:00:00,1.12852,1.12907,1.12719,1.1276,2272.65999892354,ASK
2021-11-22 00:00:00,1.12757,1.12891,1.12309,1.1242,120492.00457262993,ASK
2021-11-23 00:00:00,1.1242,1.12737,1.12262,1.12451,103972.00490297377,ASK
