Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,1.21057,1.21057,1.20691,1.20858,5883.629958614707,ASK
2021-01-04 00:00:00,1.20839,1.21106,1.19319,1.1961,145097.3602412343,ASK
2021-01-05 00:00:00,1.1961,1.19816,1.1923,1.19696,142736.5600630641,ASK
2021-01-06 00:00:00,1.19688,1.19878,1.19185,1.19649,179483.2099148631,ASK
2021-01-07 00:00:00,1.19647,1.20268,1.19356,1.20132,146106.56018531322,ASK
2021-01-08 00:00:00,1.20127,1.20577,1.19947,1.20138,154783.46022367477,ASK
2021-01-10 00:00:00,1.20138,1.20395,1.1994,1.20008,3872.249982893467,ASK
2021-01-11 00:00:00,1.20004,1.2044,1.19694,1.20331,130162.05011892319,ASK
2021-01-12 00:00:00,1.20325,1.21328,1.2032,1.21136,123143.77005004883,ASK
2021-01-13 00:00:00,1.2112,1.21654,1.20919,1.21087,121410.26997733116,ASK
2021-01-14 00:00:00,1.21085,1.21698,1.20973,1.21572,128629.3501906395,ASK
2021-01-15 00:00:00,1.21572,1.21625,1.20802,1.21153,115485.4699486494,ASK
2021-01-17 00:00:00,1.21153,1.21317,1.21053,1.2114,4308.640008449554,ASK
2021-01-18 00:00:00,1.21134,1.21137,1.2055,1.21026,104700.54999148846,ASK
2021-01-19 00:00:00,1.21025,1.21263,1.20696,1.21187,108413.28987658024,ASK
2021-01-20 00:00:00,1.21188,1.2196,1.21099,1.21566,121834.79997324944,ASK
2021-01-21 00:00:00,1.21559,1.21962,1.21399,1.21573,113109.17001497746,ASK
2021-01-22 00:00:00,1.21564,1.21579,1.20769,1.21199,100799.22992151976,ASK
2021-01-24 00:00:00,1.21199,1.21301,1.21132,1.21214,6923.089990198612,ASK
2021-01-25 00:00:00,1.21213,1.21554,1.21152,1.21473,119167.20004367828,ASK
2021-01-26 00:00:00,1.21469,1.21985,1.2105,1.21845,110363.04997968674,ASK
2021-01-27 00:00:00,1.21844,1.22052,1.2155,1.21585,153683.32009613514,ASK
2021-01-28 00:00:00,1.21578,1.22055,1.21239,1.21981,145958.31001400948,ASK
2021-01-29 00:00:00,1.21973,1.22258,1.21504,1.22108,156833.38011527061,ASK
2021-01-31 00:00:00,1.22108,1.22219,1.22,1.22128,4703.5300006866455,ASK
2021-02-01 00:00:00,1.22124,1.22935,1.22102,1.22625,131147.89019417763,ASK
2021-02-02 00:00:00,1.22625,1.22854,1.22389,1.22675,125107.32023143768,ASK
2021-02-03 00:00:00,1.22669,1.229,1.22498,1.2265,113743.94005477428,ASK
2021-02-04 00:00:00,1.22648,1.23683,1.22363,1.23646,124662.74002504349,ASK
2021-02-05 00:00:00,1.2362,1.23734,1.23343,1.23556,104853.67990809679,ASK
2021-02-07 00:00:00,1.23556,1.23605,1.23404,1.23535,7456.399992227554,ASK
2021-02-08 00:00:00,1.23534,1.23647,1.23228,1.23542,94001.41016161442,ASK
2021-02-09 00:00:00,1.23542,1.23583,1.22961,1.23329,106958.4500207901,ASK
2021-02-10 00:00:00,1.23331,1.23428,1.231,1.23144,111560.68027675152,ASK
2021-02-11 00:00:00,1.23143,1.23291,1.2285,1.22958,85484.77985572815,ASK
2021-02-12 00:00:00,1.22948,1.23618,1.22793,1.23592,85304.7100726366,ASK
2021-02-14 00:00:00,1.23592,1.23754,1.23566,1.23722,8514.670052409172,ASK
2021-02-15 00:00:00,1.23722,1.23972,1.23709,1.23836,74601.68002438545,ASK
2021-02-16 00:00:00,1.23836,1.24195,1.2357,1.24093,116825.39999473095,ASK
2021-02-17 00:00:00,1.24089,1.24647,1.23901,1.24611,123188.7399507761,ASK
2021-02-18 00:00:00,1.24608,1.25318,1.24462,1.2517,104578.09987080097,ASK
2021-02-19 00:00:00,1.25163,1.25756,1.24995,1.25622,97405.96993017197,ASK
2021-02-21 00:00:00,1.25622,1.25833,1.25609,1.25829,10919.080007627606,ASK
2021-02-22 00:00:00,1.25822,1.26288,1.25647,1.26047,112935.3099848628,ASK
2021-02-23 00:00:00,1.26038,1.27843,1.25972,1.27843,113345.08996975422,ASK
2021-02-24 00:00:00,1.2784,1.28909,1.27819,1.28286,139252.0499408841,ASK
