Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,141.246,141.323,140.86,141.282,8500.850017309189,ASK
2021-01-04 00:00:00,141.263,141.236,139.696,139.976,237310.26984286308,ASK
2021-01-05 00:00:00,139.974,140.153,139.521,139.944,224934.7397019863,ASK
2021-01-06 00:00:00,139.935,140.577,139.775,140.381,291689.41988134384,ASK
2021-01-07 00:00:00,140.369,140.993,140.119,140.87,244326.88986861706,ASK
2021-01-08 00:00:00,140.859,141.354,140.751,141.048,253249.26959705353,ASK
2021-01-10 00:00:00,141.048,141.215,140.637,140.727,7251.990038990974,ASK
2021-01-11 00:00:00,140.717,140.995,140.348,140.851,210946.8399592638,ASK
2021-01-12 00:00:00,140.84,142.03,140.761,141.827,195567.2601877451,ASK
2021-01-13 00:00:00,141.8,142.251,141.536,141.716,192188.2201513052,ASK
2021-01-14 00:00:00,141.709,142.247,141.64,142.094,200844.12993443012,ASK
2021-01-15 00:00:00,142.092,142.112,140.962,141.162,183038.75986623764,ASK
2021-01-17 00:00:00,141.162,141.324,141.026,141.063,8108.73997592926,ASK
2021-01-18 00:00:00,141.033,141.09,140.369,140.871,170357.5398400426,ASK
2021-01-19 00:00:00,140.872,141.787,140.848,141.775,152054.83008766174,ASK
2021-01-20 00:00:00,141.776,142.328,141.087,141.545,167220.29008829594,ASK
2021-01-21 00:00:00,141.538,142.22,141.438,142.124,151638.8998363018,ASK
2021-01-22 00:00:00,142.111,142.207,141.521,142.04,140101.62999868393,ASK
2021-01-24 00:00:00,142.04,142.127,142.009,142.064,9002.340044021606,ASK
2021-01-25 00:00:00,142.053,142.314,141.661,141.927,164597.77996337414,ASK
2021-01-26 00:00:00,141.924,142.448,141.292,142.372,151874.7299874127,ASK
2021-01-27 00:00:00,142.363,142.844,142.209,142.391,185840.99971349537,ASK
2021-01-28 00:00:00,142.383,143.271,142.199,143.171,196863.33012580872,ASK
2021-01-29 00:00:00,143.163,143.956,143.004,143.508,210148.37006282806,ASK
2021-01-31 00:00:00,143.508,143.672,143.392,143.451,11604.110011577606,ASK
2021-02-01 00:00:00,143.45,144.102,143.329,143.449,152408.350189358,ASK
2021-02-02 00:00:00,143.448,143.774,143.139,143.482,143724.8600707054,ASK
2021-02-03 00:00:00,143.472,143.679,143.123,143.331,130251.0999905467,ASK
2021-02-04 00:00:00,143.329,144.401,142.846,144.376,146265.8898434639,ASK
2021-02-05 00:00:00,144.359,144.884,144.265,144.784,131412.9999499321,ASK
2021-02-07 00:00:00,144.784,144.847,144.553,144.812,13064.150004386902,ASK
2021-02-08 00:00:00,144.805,144.934,144.418,144.637,121652.41009950638,ASK
2021-02-09 00:00:00,144.632,144.67,144.044,144.502,136297.45996022224,ASK
2021-02-10 00:00:00,144.501,145.072,144.382,144.713,129934.32006067038,ASK
2021-02-11 00:00:00,144.701,144.906,144.583,144.699,112594.51001942158,ASK
2021-02-12 00:00:00,144.685,145.486,144.5,145.421,108697.98010015488,ASK
2021-02-14 00:00:00,145.421,145.751,145.388,145.737,23515.030006170273,ASK
2021-02-15 00:00:00,145.729,146.655,145.66,146.63,103009.24015009403,ASK
2021-02-16 00:00:00,146.623,147.563,146.524,147.381,156287.82014530897,ASK
2021-02-17 00:00:00,147.348,147.328,146.426,146.797,152089.47012138367,ASK
2021-02-18 00:00:00,146.788,147.77,146.558,147.58,126869.59003472328,ASK
