Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,1.90059,1.90195,1.89888,1.90166,5330.680028319359,ASK
2021-01-04 00:00:00,1.90145,1.90438,1.88786,1.89102,212107.25980740786,ASK
2021-01-05 00:00:00,1.89085,1.89195,1.87677,1.87896,188434.89993584156,ASK
2021-01-06 00:00:00,1.87881,1.87951,1.86369,1.86542,229908.28976881504,ASK
2021-01-07 00:00:00,1.8654,1.87878,1.8631,1.868,188471.10006976128,ASK
2021-01-08 00:00:00,1.86787,1.88048,1.86683,1.87475,195058.3001499176,ASK
2021-01-10 00:00:00,1.87475,1.88052,1.87475,1.87787,6241.240006804466,ASK
2021-01-11 00:00:00,1.87778,1.88798,1.87397,1.88553,190382.34982848167,ASK
2021-01-12 00:00:00,1.88541,1.89951,1.88438,1.89113,168053.94033682346,ASK
2021-01-13 00:00:00,1.89104,1.90638,1.88997,1.8984,196090.1099551916,ASK
2021-01-14 00:00:00,1.89835,1.90146,1.89186,1.89622,171181.03976726532,ASK
2021-01-15 00:00:00,1.8962,1.90803,1.89495,1.9061,195294.5898923874,ASK
2021-01-17 00:00:00,1.9061,1.90712,1.90362,1.90689,4014.7200000286102,ASK
2021-01-18 00:00:00,1.90688,1.91203,1.90352,1.90927,132356.89016580582,ASK
2021-01-19 00:00:00,1.90914,1.91726,1.90564,1.9142,171638.840177536,ASK
2021-01-20 00:00:00,1.91403,1.92139,1.90056,1.90268,173652.01038461924,ASK
2021-01-21 00:00:00,1.90257,1.91018,1.89785,1.90336,153676.83004128933,ASK
2021-01-22 00:00:00,1.90329,1.90778,1.89998,1.90609,134003.27000951767,ASK
2021-01-24 00:00:00,1.90609,1.90849,1.9054,1.90639,7287.589995384216,ASK
2021-01-25 00:00:00,1.90629,1.90627,1.89591,1.89997,156826.81991434097,ASK
2021-01-26 00:00:00,1.89994,1.90198,1.89247,1.89892,146014.2601468563,ASK
2021-01-27 00:00:00,1.89861,1.91518,1.89796,1.91466,209979.4100472927,ASK
2021-01-28 00:00:00,1.91451,1.92013,1.90984,1.91363,208213.25996911526,ASK
2021-01-29 00:00:00,1.91358,1.91629,1.90049,1.90868,242013.19011116028,ASK
2021-01-31 00:00:00,1.90868,1.91574,1.90868,1.91278,9349.0200278759,ASK
