Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,1.36749,1.3684,1.36504,1.36835,5980.534698881209,ASK
2021-01-04 00:00:00,1.36815,1.3703,1.35423,1.35717,190027.90385822952,ASK
2021-01-05 00:00:00,1.35717,1.36415,1.35547,1.36279,143020.51751118898,ASK
2021-01-06 00:00:00,1.36274,1.36701,1.35389,1.36247,186301.72831458598,ASK
2021-01-07 00:00:00,1.36248,1.36329,1.35331,1.35701,139598.04736548662,ASK
2021-01-08 00:00:00,1.35696,1.36323,1.35389,1.35767,146269.44403791428,ASK
2021-01-10 00:00:00,1.35767,1.35767,1.35101,1.35195,17562.99924889207,ASK
2021-01-11 00:00:00,1.3519,1.35355,1.34511,1.35246,122724.27979004383,ASK
2021-01-12 00:00:00,1.35238,1.36698,1.35048,1.36696,116723.65138620138,ASK
2021-01-13 00:00:00,1.36678,1.36998,1.36122,1.36483,109506.56953844428,ASK
2021-01-14 00:00:00,1.36479,1.37054,1.3617,1.36836,108239.90744492412,ASK
2021-01-15 00:00:00,1.36834,1.36985,1.35727,1.35905,98873.6248998642,ASK
2021-01-17 00:00:00,1.35905,1.36084,1.35703,1.35747,7171.312664091587,ASK
2021-01-18 00:00:00,1.35714,1.35898,1.35201,1.35834,85891.63486651331,ASK
2021-01-19 00:00:00,1.35833,1.36474,1.35822,1.36449,87142.7119449377,ASK
2021-01-20 00:00:00,1.36448,1.3717,1.36239,1.36681,85054.8599902913,ASK
2021-01-21 00:00:00,1.36672,1.37461,1.36595,1.37294,86862.82096526772,ASK
2021-01-22 00:00:00,1.37289,1.37363,1.36361,1.36899,78149.9449878633,ASK
2021-01-24 00:00:00,1.36899,1.36912,1.36766,1.36878,3425.04000338912,ASK
2021-01-25 00:00:00,1.36862,1.37227,1.36492,1.36776,86937.18494772911,ASK
2021-01-26 00:00:00,1.36773,1.37439,1.36098,1.37414,83187.00909161568,ASK
2021-01-27 00:00:00,1.37415,1.37587,1.36597,1.36714,153278.77418923378,ASK
2021-01-28 00:00:00,1.36714,1.37457,1.36306,1.37257,126475.6567261517,ASK
2021-01-29 00:00:00,1.37254,1.37519,1.36577,1.37134,155806.88389135897,ASK
2021-01-31 00:00:00,1.37134,1.37134,1.36946,1.36983,6911.779992997646,ASK
2021-02-01 00:00:00,1.36983,1.3758,1.36568,1.36769,146514.8755210638,ASK
2021-02-02 00:00:00,1.36766,1.37105,1.36118,1.36606,117348.9549498558,ASK
2021-02-03 00:00:00,1.36597,1.36832,1.36197,1.36503,107399.41492468119,ASK
2021-02-04 00:00:00,1.36503,1.36978,1.35675,1.36754,128625.3251927793,ASK
2021-02-05 00:00:00,1.36731,1.374,1.36664,1.37391,81380.76009309292,ASK
2021-02-07 00:00:00,1.37391,1.37405,1.37177,1.37389,17891.5879047513,ASK
2021-02-08 00:00:00,1.37389,1.37497,1.36804,1.37462,60367.89669328928,ASK
2021-02-09 00:00:00,1.37462,1.382,1.37429,1.38162,73127.1534403041,ASK
2021-02-10 00:00:00,1.38161,1.38656,1.3803,1.38313,80167.12808172405,ASK
2021-02-11 00:00:00,1.38307,1.38589,1.38008,1.3813,55154.82494413853,ASK
2021-02-12 00:00:00,1.38118,1.38628,1.37762,1.38586,50821.20998585224,ASK
2021-02-14 00:00:00,1.38586,1.38713,1.38525,1.38703,6810.005949057639,ASK
2021-02-15 00:00:00,1.38697,1.39194,1.38661,1.39146,55151.78493257612,ASK
2021-02-16 00:00:00,1.39145,1.39521,1.38696,1.38871,80868.58494627476,ASK
2021-02-17 00:00:00,1.38853,1.39025,1.383,1.38663,86597.9666659832,ASK
2021-02-18 00:00:00,1.38662,1.39857,1.38402,1.39678,82814.94328862429,ASK
2021-02-19 00:00:00,1.39677,1.40348,1.39518,1.40166,73170.85001784563,ASK
2021-02-21 00:00:00,1.40166,1.40319,1.40072,1.40309,8450.037555351853,ASK
2021-02-22 00:00:00,1.4028,1.4086,1.39809,1.40699,73887.40684634447,ASK
