Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,0.63673,0.63673,0.63526,0.63577,3883.040006160736,ASK
2021-01-04 00:00:00,0.63563,0.63732,0.63049,0.63271,108639.46003460884,ASK
2021-01-05 00:00:00,0.63271,0.63769,0.63229,0.63729,108510.20008325577,ASK
2021-01-06 00:00:00,0.63722,0.6425,0.63643,0.64156,147520.51014614105,ASK
2021-01-07 00:00:00,0.6415,0.64333,0.63892,0.64329,120121.96010065079,ASK
2021-01-08 00:00:00,0.64327,0.6441,0.63946,0.64108,132066.59987735748,ASK
2021-01-10 00:00:00,0.64108,0.6416,0.63889,0.63926,5104.329983472824,ASK
2021-01-11 00:00:00,0.63925,0.64108,0.6373,0.63833,110065.11998420954,ASK
2021-01-12 00:00:00,0.63833,0.64109,0.63744,0.64072,100561.66990637779,ASK
2021-01-13 00:00:00,0.6406,0.64132,0.63629,0.63799,99488.92992126942,ASK
2021-01-14 00:00:00,0.63797,0.64216,0.63766,0.64125,101930.24005329609,ASK
2021-01-15 00:00:00,0.64125,0.6418,0.63342,0.63635,99593.50999677181,ASK
2021-01-17 00:00:00,0.63635,0.63669,0.63506,0.63554,3222.269994735718,ASK
2021-01-18 00:00:00,0.63536,0.63586,0.63267,0.63405,78142.67991375923,ASK
2021-01-19 00:00:00,0.63405,0.63592,0.63095,0.63329,89006.97998416424,ASK
2021-01-20 00:00:00,0.63326,0.63972,0.63211,0.63907,97571.72992801666,ASK
2021-01-21 00:00:00,0.63905,0.64087,0.63661,0.63884,95760.46998500824,ASK
2021-01-22 00:00:00,0.63883,0.63936,0.63478,0.63606,88275.07991027832,ASK
2021-01-24 00:00:00,0.63606,0.63681,0.63509,0.63605,3353.259991645813,ASK
2021-01-25 00:00:00,0.63598,0.64046,0.63578,0.6395,102299.18004488945,ASK
2021-01-26 00:00:00,0.63947,0.64332,0.63757,0.64192,86040.45006668568,ASK
2021-01-27 00:00:00,0.64186,0.64244,0.63503,0.63519,138865.1199002266,ASK
2021-01-28 00:00:00,0.63515,0.63867,0.63215,0.63758,131360.62997210026,ASK
2021-01-29 00:00:00,0.6375,0.64205,0.63628,0.6403,145219.12000370026,ASK
2021-01-31 00:00:00,0.6403,0.6403,0.63782,0.63883,5638.479997038841,ASK
2021-02-01 00:00:00,0.63879,0.64332,0.63872,0.64244,120458.44011831284,ASK
