Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,74.286,74.357,74.178,74.313,5608.439988732338,ASK
2021-01-04 00:00:00,74.302,74.338,73.804,74.04,166901.43002223969,ASK
2021-01-05 00:00:00,74.039,74.539,73.97,74.502,167774.99990797043,ASK
2021-01-06 00:00:00,74.498,75.29,74.419,75.268,222216.8198404312,ASK
2021-01-07 00:00:00,75.259,75.433,74.983,75.428,180935.75998842716,ASK
2021-01-08 00:00:00,75.425,75.577,74.941,75.276,178944.37006616592,ASK
2021-01-10 00:00:00,75.276,75.276,74.903,74.957,6355.04001802206,ASK
2021-01-11 00:00:00,74.954,75.009,74.606,74.712,130150.46983027458,ASK
2021-01-12 00:00:00,74.706,75.03,74.644,75.002,123498.16990971565,ASK
2021-01-13 00:00:00,74.997,74.999,74.496,74.661,120589.5899630785,ASK
2021-01-14 00:00:00,74.661,75.05,74.622,74.946,130484.71982944012,ASK
2021-01-15 00:00:00,74.944,74.994,73.884,74.095,117136.80007266998,ASK
2021-01-17 00:00:00,74.095,74.188,73.969,74.006,4242.580016493797,ASK
2021-01-18 00:00:00,73.968,74.032,73.656,73.798,100734.99000132084,ASK
2021-01-19 00:00:00,73.795,74.285,73.789,74.082,114934.2499473095,ASK
2021-01-20 00:00:00,74.078,74.496,73.907,74.41,109652.9700191021,ASK
2021-01-21 00:00:00,74.404,74.749,74.362,74.681,117127.11985683441,ASK
2021-01-22 00:00:00,74.679,74.798,74.368,74.55,109740.0300552845,ASK
2021-01-24 00:00:00,74.55,74.58,74.463,74.542,3596.5799832344055,ASK
2021-01-25 00:00:00,74.527,74.906,74.451,74.71,112134.97986495495,ASK
2021-01-26 00:00:00,74.707,75.124,74.38,75.0,96768.13002085686,ASK
2021-01-27 00:00:00,74.995,75.092,74.35,74.381,158085.99004936218,ASK
2021-01-28 00:00:00,74.378,74.983,74.129,74.832,150101.02994132042,ASK
2021-01-29 00:00:00,74.828,75.635,74.718,75.271,172155.18993854523,ASK
2021-01-31 00:00:00,75.271,75.271,74.925,75.033,6305.95999866724,ASK
2021-02-01 00:00:00,75.029,75.406,75.006,75.148,135122.33990430832,ASK
2021-02-02 00:00:00,75.145,75.699,75.001,75.584,120250.96005678177,ASK
2021-02-03 00:00:00,75.555,75.868,75.488,75.83,105341.15990424156,ASK
2021-02-04 00:00:00,75.831,75.857,75.395,75.594,97876.32992720604,ASK
2021-02-05 00:00:00,75.579,75.948,75.328,75.946,98268.95998311043,ASK
2021-02-07 00:00:00,75.946,76.013,75.765,76.008,6066.009993374348,ASK
2021-02-08 00:00:00,76.006,76.127,75.809,76.043,88074.51001906395,ASK
2021-02-09 00:00:00,76.04,76.14,75.542,75.736,108482.11975705624,ASK
2021-02-10 00:00:00,75.734,75.731,75.374,75.522,105056.43008363247,ASK
2021-02-11 00:00:00,75.517,75.914,75.362,75.76,73098.02997237444,ASK
2021-02-12 00:00:00,75.75,75.87,75.419,75.788,72252.79994988441,ASK
2021-02-14 00:00:00,75.788,75.866,75.627,75.847,6261.149967432022,ASK
2021-02-15 00:00:00,75.837,76.294,75.821,76.217,62184.13998311758,ASK
2021-02-16 00:00:00,76.214,76.726,76.202,76.287,118231.12980556488,ASK
2021-02-17 00:00:00,76.28,76.38,75.8,76.155,115873.59994029999,ASK
2021-02-18 00:00:00,76.144,76.364,75.992,76.267,117021.66982150078,ASK
2021-02-19 00:00:00,76.266,77.22,76.142,76.931,123250.64997243881,ASK
2021-02-21 00:00:00,76.931,77.18,76.859,77.151,5558.109985589981,ASK
2021-02-22 00:00:00,77.127,77.406,76.889,76.952,134366.6001367569,ASK
2021-02-23 00:00:00,76.95,77.356,76.795,77.27,126482.19990801811,ASK
2021-02-24 00:00:00,77.269,78.904,77.084,78.881,163983.00985717773,ASK
2021-02-25 00:00:00,78.851,79.198,78.167,78.339,200643.34015750885,ASK
2021-02-26 00:00:00,78.328,78.415,76.98,77.106,232164.0999917984,ASK
2021-02-28 00:00:00,77.106,77.488,77.082,77.437,6330.159983634949,ASK
2021-03-01 00:00:00,77.421,77.77,77.121,77.731,156983.21989893913,ASK
2021-03-02 00:00:00,77.725,77.979,77.069,77.859,158570.08011364937,ASK
2021-03-03 00:00:00,77.857,78.069,77.388,77.41,160411.69998705387,ASK
2021-03-04 00:00:00,77.388,78.216,77.376,77.491,195614.42989134789,ASK
2021-03-05 00:00:00,77.478,77.75,77.122,77.731,200131.5302028656,ASK
