Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,0.71947,0.7199,0.71865,0.71977,2854.1799949407578,ASK
2021-01-04 00:00:00,0.71966,0.72309,0.71536,0.71789,122284.19987010956,ASK
2021-01-05 00:00:00,0.71789,0.72602,0.71731,0.7256,130198.05984687805,ASK
2021-01-06 00:00:00,0.72548,0.73159,0.72363,0.73053,175796.76998996735,ASK
2021-01-07 00:00:00,0.73054,0.73034,0.72254,0.72664,137723.3897714615,ASK
2021-01-08 00:00:00,0.7266,0.72808,0.7205,0.72397,159964.77987527847,ASK
2021-01-10 00:00:00,0.72397,0.72397,0.7196,0.72015,5162.619966745377,ASK
2021-01-11 00:00:00,0.72013,0.72095,0.71471,0.71743,117631.89984703064,ASK
2021-01-12 00:00:00,0.71743,0.72316,0.71578,0.72301,96049.10001659393,ASK
2021-01-13 00:00:00,0.72289,0.72393,0.71668,0.71909,99332.77009606361,ASK
2021-01-14 00:00:00,0.71909,0.72394,0.71717,0.7218,83845.50983142853,ASK
2021-01-15 00:00:00,0.72171,0.72292,0.71189,0.71359,99432.86984205246,ASK
2021-01-17 00:00:00,0.71359,0.71441,0.7118,0.7122,2541.9000034332275,ASK
2021-01-18 00:00:00,0.71181,0.71361,0.7097,0.71162,67245.12999272346,ASK
2021-01-19 00:00:00,0.7116,0.71407,0.71031,0.71303,83600.46986299753,ASK
2021-01-20 00:00:00,0.713,0.71952,0.71166,0.71855,83224.73985004425,ASK
2021-01-21 00:00:00,0.7185,0.72236,0.71759,0.72147,91611.1799223423,ASK
2021-01-22 00:00:00,0.72148,0.72258,0.71674,0.71881,91106.98991537094,ASK
2021-01-24 00:00:00,0.71881,0.71881,0.71734,0.71824,2268.5299987196922,ASK
2021-01-25 00:00:00,0.71806,0.7217,0.71712,0.71999,95808.81994438171,ASK
2021-01-26 00:00:00,0.71997,0.72477,0.71679,0.72394,74399.9998281002,ASK
2021-01-27 00:00:00,0.72386,0.7245,0.71373,0.71422,133838.77002310753,ASK
2021-01-28 00:00:00,0.71421,0.71962,0.7106,0.71742,125978.67000436783,ASK
2021-01-29 00:00:00,0.71738,0.72261,0.71513,0.71908,141115.52967596054,ASK
2021-01-31 00:00:00,0.71908,0.71908,0.7151,0.71651,5162.7299718260765,ASK
2021-02-01 00:00:00,0.7165,0.72033,0.71534,0.71651,109676.51997852325,ASK
2021-02-02 00:00:00,0.71649,0.72073,0.71355,0.71966,94044.92979097366,ASK
2021-02-03 00:00:00,0.71934,0.72251,0.7184,0.72222,81797.42987895012,ASK
2021-02-04 00:00:00,0.72224,0.72255,0.71474,0.71604,79863.43989610672,ASK
2021-02-05 00:00:00,0.71589,0.72072,0.71368,0.7207,76248.68000006676,ASK
2021-02-07 00:00:00,0.7207,0.72131,0.71913,0.72117,3063.45000320673,ASK
2021-02-08 00:00:00,0.72114,0.72322,0.71786,0.72274,62692.109976530075,ASK
2021-02-09 00:00:00,0.72272,0.72549,0.72162,0.72415,86794.11987531185,ASK
2021-02-10 00:00:00,0.72415,0.7245,0.72003,0.72185,92144.54001319408,ASK
2021-02-11 00:00:00,0.72185,0.72507,0.72051,0.72326,58047.12993951142,ASK
2021-02-12 00:00:00,0.72316,0.72332,0.71761,0.72266,47401.749915361404,ASK
2021-02-14 00:00:00,0.72266,0.72266,0.72099,0.72191,2275.610014438629,ASK
2021-02-15 00:00:00,0.72182,0.72494,0.72161,0.7233,36607.95002102852,ASK
2021-02-16 00:00:00,0.72329,0.72688,0.71836,0.71894,81027.25010871887,ASK
2021-02-17 00:00:00,0.71887,0.7214,0.71583,0.7194,91028.1299893856,ASK
2021-02-18 00:00:00,0.71933,0.72264,0.71766,0.72186,98210.27992200851,ASK
2021-02-19 00:00:00,0.72184,0.73148,0.7204,0.72965,83242.29993700981,ASK
2021-02-21 00:00:00,0.72965,0.73145,0.72929,0.73114,2415.7400005459785,ASK
2021-02-22 00:00:00,0.73084,0.73425,0.72818,0.73284,88933.96992492676,ASK
2021-02-23 00:00:00,0.73281,0.7347,0.73074,0.73386,96258.03986549377,ASK
2021-02-24 00:00:00,0.73385,0.74535,0.73156,0.7445,110636.33008337021,ASK
2021-02-25 00:00:00,0.74421,0.74643,0.73602,0.73639,144311.06980657578,ASK
2021-02-26 00:00:00,0.73624,0.73748,0.72232,0.72368,181619.42984724045,ASK
2021-02-28 00:00:00,0.72368,0.72762,0.72368,0.72715,4952.329992234707,ASK
2021-03-01 00:00:00,0.7271,0.72969,0.72259,0.72746,110166.56980144978,ASK
2021-03-02 00:00:00,0.72744,0.73077,0.72095,0.72929,105929.38002669811,ASK
2021-03-03 00:00:00,0.7293,0.7305,0.72277,0.72302,110523.62009620667,ASK
2021-03-04 00:00:00,0.72279,0.72733,0.7173,0.71776,133913.0299563408,ASK
2021-03-05 00:00:00,0.7177,0.71848,0.70995,0.71687,134476.47977137566,ASK
2021-03-07 00:00:00,0.71687,0.71906,0.71687,0.71781,3722.439992427826,ASK
2021-03-08 00:00:00,0.71778,0.71878,0.71052,0.71326,106530.1500428021,ASK
2021-03-09 00:00:00,0.71328,0.71827,0.71035,0.71806,106413.35981965065,ASK
2021-03-10 00:00:00,0.71793,0.72001,0.71319,0.71935,94373.07004016638,ASK
2021-03-11 00:00:00,0.71934,0.72411,0.71859,0.72268,89532.56009310484,ASK
2021-03-12 00:00:00,0.72259,0.72332,0.71513,0.71807,98414.93006062508,ASK
2021-03-14 00:00:00,0.71807,0.71876,0.71749,0.71875,3404.950002670288,ASK
2021-03-15 00:00:00,0.71874,0.72156,0.71681,0.72024,72273.5400229916,ASK
2021-03-16 00:00:00,0.7202,0.7206,0.71678,0.71935,65161.77998173237,ASK
2021-03-17 00:00:00,0.71933,0.7264,0.71539,0.72528,80269.12008857727,ASK
2021-03-18 00:00:00,0.72525,0.72693,0.71601,0.71682,110026.58995735645,ASK
2021-03-19 00:00:00,0.7167,0.71881,0.7143,0.71708,85994.13997626305,ASK
2021-03-21 00:00:00,0.71708,0.71708,0.71424,0.71524,2126.0500057935715,ASK
2021-03-22 00:00:00,0.71522,0.7183,0.71237,0.71324,61247.40997442603,ASK
2021-03-23 00:00:00,0.7132,0.71337,0.69867,0.69931,70496.52003031969,ASK
2021-03-24 00:00:00,0.69931,0.70019,0.6956,0.69691,52537.22989696264,ASK
2021-03-25 00:00:00,0.6969,0.69866,0.69438,0.69674,60611.69996237755,ASK
2021-03-26 00:00:00,0.6966,0.70025,0.6962,0.70014,48483.19994974136,ASK
2021-03-28 00:00:00,0.70014,0.70014,0.69912,0.69938,1445.6599991321564,ASK
2021-03-29 00:00:00,0.69936,0.70173,0.69721,0.70095,48500.29000836611,ASK
2021-03-30 00:00:00,0.70095,0.70331,0.69735,0.69923,49086.419980704784,ASK
2021-03-31 00:00:00,0.69924,0.70244,0.6964,0.69832,42041.2500064373,ASK
2021-04-01 00:00:00,0.69832,0.70271,0.69457,0.70234,48320.33995592594,ASK
2021-04-02 00:00:00,0.70227,0.70509,0.70138,0.70481,20599.399986691773,ASK
2021-04-04 00:00:00,0.70481,0.70481,0.70194,0.70316,2806.640003800392,ASK
2021-04-05 00:00:00,0.70305,0.70702,0.70164,0.70665,30510.55995619297,ASK
2021-04-06 00:00:00,0.70663,0.70697,0.70084,0.70635,50818.23994040489,ASK
2021-04-07 00:00:00,0.70633,0.70688,0.69977,0.70132,53913.02991825342,ASK
2021-04-08 00:00:00,0.70132,0.70642,0.70048,0.70616,59009.24990594387,ASK
2021-04-09 00:00:00,0.7061,0.70656,0.701,0.70397,57130.079951286316,ASK
2021-04-11 00:00:00,0.70397,0.70427,0.70308,0.70388,2764.3800023794174,ASK
2021-04-12 00:00:00,0.70371,0.70495,0.70143,0.70329,56110.91003167629,ASK
2021-04-13 00:00:00,0.70319,0.7067,0.70045,0.70629,57083.49990999699,ASK
2021-04-14 00:00:00,0.70607,0.71504,0.70478,0.71405,62905.94997501373,ASK
2021-04-15 00:00:00,0.71395,0.71818,0.71385,0.71751,59278.63992160559,ASK
2021-04-16 00:00:00,0.71753,0.71786,0.71324,0.71476,52390.039996147156,ASK
2021-04-19 00:00:00,0.71266,0.71979,0.71225,0.71899,61355.84999523312,ASK
2021-04-20 00:00:00,0.71897,0.72296,0.71633,0.71653,64763.03992176056,ASK
2021-04-21 00:00:00,0.71652,0.72188,0.71629,0.7204,55133.90009474754,ASK
2021-04-22 00:00:00,0.72037,0.72141,0.71466,0.71547,63116.87004160881,ASK
2021-04-23 00:00:00,0.71546,0.72066,0.71536,0.72066,42320.44002974033,ASK
2021-04-25 00:00:00,0.72066,0.72066,0.71916,0.71929,1357.1800015568733,ASK
2021-04-26 00:00:00,0.71917,0.72431,0.71901,0.72303,50513.97999513149,ASK
2021-04-27 00:00:00,0.72299,0.7237,0.72002,0.7205,48051.09001106024,ASK
2021-04-28 00:00:00,0.72037,0.72709,0.71891,0.72703,59325.6400103569,ASK
2021-04-29 00:00:00,0.72697,0.72867,0.7223,0.72472,62554.44004356861,ASK
2021-04-30 00:00:00,0.72471,0.72543,0.71512,0.71697,53150.869971990585,ASK
2021-05-02 00:00:00,0.71697,0.71847,0.71644,0.71697,1881.509999603033,ASK
2021-05-03 00:00:00,0.71697,0.72123,0.71562,0.71978,44897.2700586319,ASK
2021-05-04 00:00:00,0.71971,0.7199,0.71161,0.71629,70075.84999060631,ASK
2021-05-05 00:00:00,0.71619,0.72237,0.715,0.72191,58467.12994748354,ASK
2021-05-06 00:00:00,0.72189,0.72395,0.71854,0.72333,69297.34999036789,ASK
2021-05-07 00:00:00,0.72326,0.72987,0.72059,0.7286,68753.89000225067,ASK
2021-05-09 00:00:00,0.7286,0.72987,0.72811,0.72965,2442.9499955177307,ASK
2021-05-10 00:00:00,0.72953,0.73051,0.72612,0.72713,58870.65001702309,ASK
2021-05-11 00:00:00,0.72713,0.72891,0.72525,0.72626,70254.649979949,ASK
2021-05-12 00:00:00,0.7262,0.72677,0.71523,0.71645,89048.5400723517,ASK
2021-05-13 00:00:00,0.71639,0.71939,0.71355,0.71823,86475.34995651245,ASK
2021-05-14 00:00:00,0.71814,0.72572,0.71698,0.72572,61250.36996102333,ASK
2021-05-16 00:00:00,0.72572,0.72572,0.72415,0.72437,1304.479995727539,ASK
2021-05-17 00:00:00,0.72437,0.72432,0.7182,0.72195,57174.27009642124,ASK
2021-05-18 00:00:00,0.7219,0.72707,0.72154,0.72383,49509.83000540733,ASK
2021-05-19 00:00:00,0.72376,0.72471,0.71523,0.71621,86801.0000051856,ASK
2021-05-20 00:00:00,0.71617,0.72153,0.71574,0.71972,57136.25998425484,ASK
2021-05-21 00:00:00,0.71966,0.72217,0.71548,0.71755,61948.91998744011,ASK
2021-05-23 00:00:00,0.71755,0.71903,0.71629,0.71723,2213.6199967861176,ASK
2021-05-24 00:00:00,0.71715,0.72216,0.71588,0.72149,66129.55000782013,ASK
2021-05-25 00:00:00,0.7214,0.72506,0.72091,0.72247,69829.33998668194,ASK
2021-05-26 00:00:00,0.72243,0.73162,0.72235,0.72779,73494.60004007816,ASK
