Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,1.27316,1.27397,1.27224,1.27254,4160.540002584457,ASK
2021-01-04 00:00:00,1.27245,1.27965,1.26656,1.2783,106883.16006127,ASK
2021-01-05 00:00:00,1.2782,1.27899,1.26567,1.26776,106494.18987107277,ASK
2021-01-06 00:00:00,1.26767,1.27239,1.26305,1.26665,164631.82016086578,ASK
2021-01-07 00:00:00,1.26664,1.27339,1.26652,1.26861,97114.21003627777,ASK
2021-01-08 00:00:00,1.26857,1.27422,1.26593,1.26927,112088.37991333008,ASK
2021-01-10 00:00:00,1.26927,1.27332,1.26927,1.27321,4586.880002856255,ASK
2021-01-11 00:00:00,1.27281,1.28357,1.27197,1.27748,88863.5299217999,ASK
2021-01-12 00:00:00,1.27744,1.27918,1.27076,1.27089,80781.40000504255,ASK
2021-01-13 00:00:00,1.27081,1.2747,1.26809,1.26986,75641.27005581558,ASK
2021-01-14 00:00:00,1.26985,1.27068,1.26252,1.26482,73197.00003959239,ASK
2021-01-15 00:00:00,1.26479,1.27648,1.26368,1.27378,85534.79993724823,ASK
2021-01-17 00:00:00,1.27378,1.27731,1.27273,1.27731,4885.229973509908,ASK
2021-01-18 00:00:00,1.27731,1.28,1.27438,1.27502,83286.31003528833,ASK
2021-01-19 00:00:00,1.275,1.2761,1.27157,1.27236,66624.80004047602,ASK
2021-01-20 00:00:00,1.27226,1.27329,1.26067,1.26296,81478.00000667572,ASK
2021-01-21 00:00:00,1.26294,1.26501,1.25899,1.26501,74306.33990557492,ASK
2021-01-22 00:00:00,1.26499,1.27404,1.26423,1.27375,72745.45989322662,ASK
2021-01-24 00:00:00,1.27375,1.27404,1.27188,1.27278,3286.939983703196,ASK
2021-01-25 00:00:00,1.27266,1.2778,1.26881,1.27387,88662.13996437192,ASK
2021-01-26 00:00:00,1.27388,1.27814,1.26904,1.26938,70630.88986134529,ASK
2021-01-27 00:00:00,1.26935,1.28219,1.26863,1.28193,132512.8898897171,ASK
