Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,0.88552,0.88552,0.88302,0.88327,2890.859990298748,ASK
2021-01-04 00:00:00,0.88321,0.88458,0.87853,0.88135,70832.7600145936,ASK
2021-01-05 00:00:00,0.88134,0.88171,0.87764,0.87833,63007.3700286746,ASK
2021-01-06 00:00:00,0.87826,0.88209,0.87579,0.8782,87665.14017599821,ASK
2021-01-07 00:00:00,0.87816,0.88607,0.87752,0.88529,78549.9699934125,ASK
2021-01-08 00:00:00,0.88528,0.88844,0.8823,0.88583,93423.68001699448,ASK
2021-01-10 00:00:00,0.88583,0.8878,0.8855,0.88768,3585.6799924373627,ASK
2021-01-11 00:00:00,0.88766,0.89202,0.88692,0.88976,75489.48997145891,ASK
2021-01-12 00:00:00,0.88975,0.89168,0.88612,0.88619,68216.03010648489,ASK
2021-01-13 00:00:00,0.8862,0.88895,0.885,0.88723,63311.390006661415,ASK
2021-01-14 00:00:00,0.88716,0.89175,0.88564,0.88846,72975.97003614902,ASK
2021-01-15 00:00:00,0.88846,0.89153,0.88698,0.89148,63068.420057177544,ASK
2021-01-17 00:00:00,0.89148,0.89259,0.89063,0.89266,2350.2499985694885,ASK
2021-01-18 00:00:00,0.89258,0.8925,0.88987,0.89099,52935.260023236275,ASK
2021-01-19 00:00:00,0.89099,0.89166,0.88646,0.88817,56338.319929003716,ASK
2021-01-20 00:00:00,0.88814,0.89208,0.88676,0.88945,61571.64004085213,ASK
2021-01-21 00:00:00,0.88945,0.88999,0.88481,0.8855,58764.89993059635,ASK
2021-01-22 00:00:00,0.88546,0.88658,0.88389,0.88593,51269.9399728775,ASK
2021-01-24 00:00:00,0.88593,0.88668,0.88524,0.88568,2328.470004618168,ASK
2021-01-25 00:00:00,0.88564,0.88925,0.88484,0.88817,58168.46987771988,ASK
2021-01-26 00:00:00,0.88815,0.88965,0.88611,0.88671,53573.33002126217,ASK
2021-01-27 00:00:00,0.88669,0.89169,0.88621,0.88935,77786.41987192631,ASK
2021-01-28 00:00:00,0.88935,0.8919,0.88701,0.88873,79852.19999474287,ASK
2021-01-29 00:00:00,0.88867,0.8915,0.88749,0.8915,78579.28003752232,ASK
2021-01-31 00:00:00,0.8915,0.892,0.89031,0.8916,4445.149969562888,ASK
2021-02-01 00:00:00,0.89157,0.89751,0.89065,0.8966,66664.5199174881,ASK
2021-02-02 00:00:00,0.89661,0.89949,0.89475,0.89809,71883.82995319366,ASK
2021-02-03 00:00:00,0.89803,0.90024,0.89709,0.8985,57690.859986424446,ASK
2021-02-04 00:00:00,0.8985,0.90455,0.89847,0.9041,60108.59997701645,ASK
2021-02-05 00:00:00,0.90411,0.90458,0.89888,0.89949,61628.859994351864,ASK
2021-02-07 00:00:00,0.89949,0.9001,0.89879,0.89918,3411.8699871897697,ASK
2021-02-08 00:00:00,0.89916,0.902,0.89827,0.89875,54201.34995243698,ASK
2021-02-09 00:00:00,0.89875,0.89884,0.892,0.89266,65857.499969244,ASK
2021-02-10 00:00:00,0.89264,0.89318,0.8891,0.89034,64205.68997678906,ASK
2021-02-11 00:00:00,0.89032,0.89107,0.88927,0.8902,44506.83012190461,ASK
2021-02-12 00:00:00,0.89018,0.89403,0.89001,0.89258,44659.94997687638,ASK
2021-02-14 00:00:00,0.89258,0.89299,0.8915,0.89201,2510.45999699831,ASK
2021-02-15 00:00:00,0.89201,0.89255,0.88981,0.89,40916.96001935005,ASK
2021-02-16 00:00:00,0.89,0.89406,0.88719,0.89367,59626.53995484114,ASK
2021-02-17 00:00:00,0.89365,0.89942,0.89276,0.89864,70506.9100253582,ASK
2021-02-18 00:00:00,0.89864,0.8996,0.89575,0.89617,59931.93003755063,ASK
2021-02-19 00:00:00,0.89611,0.89726,0.89342,0.89671,53993.1199439168,ASK
2021-02-21 00:00:00,0.89671,0.8975,0.89606,0.89694,6480.039976999164,ASK
2021-02-22 00:00:00,0.89694,0.90228,0.89488,0.89589,66600.66997045279,ASK
2021-02-23 00:00:00,0.89589,0.90573,0.89494,0.90543,66194.67013013363,ASK
2021-02-24 00:00:00,0.90543,0.90948,0.90489,0.90683,91345.02000361681,ASK
2021-02-25 00:00:00,0.90682,0.90776,0.90285,0.9058,115766.61018669605,ASK
2021-02-26 00:00:00,0.90579,0.91019,0.90273,0.90891,116362.04997110367,ASK
2021-02-28 00:00:00,0.90891,0.90952,0.90741,0.90756,3057.859978362918,ASK
2021-03-01 00:00:00,0.90743,0.91597,0.90713,0.9151,90396.97002220154,ASK
2021-03-02 00:00:00,0.91507,0.91929,0.91368,0.91529,80758.26003050804,ASK
2021-03-03 00:00:00,0.91519,0.92012,0.91409,0.92016,81848.49004435539,ASK
2021-03-04 00:00:00,0.92014,0.92977,0.91898,0.92945,107504.83999243379,ASK
2021-03-05 00:00:00,0.92938,0.93185,0.92581,0.93085,100563.43004226685,ASK
2021-03-07 00:00:00,0.93085,0.93155,0.92954,0.93029,4413.799983561039,ASK
2021-03-08 00:00:00,0.93021,0.93703,0.92986,0.93627,83395.53995919228,ASK
2021-03-09 00:00:00,0.93626,0.93753,0.92764,0.92827,87449.19993007183,ASK
