Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,103.31,103.313,103.138,103.25,5109.600012123585,ASK
2021-01-04 00:00:00,103.25,103.248,102.715,103.138,114308.76995182037,ASK
2021-01-05 00:00:00,103.137,103.187,102.606,102.694,115591.16998112202,ASK
2021-01-06 00:00:00,102.687,103.439,102.594,103.035,144318.3502086997,ASK
2021-01-07 00:00:00,103.023,103.954,102.953,103.807,119493.78998441994,ASK
2021-01-08 00:00:00,103.805,104.087,103.606,103.995,143468.47000789642,ASK
2021-01-10 00:00:00,103.995,104.095,103.896,104.098,6383.909981667995,ASK
2021-01-11 00:00:00,104.089,104.391,104.035,104.146,102910.68014490604,ASK
2021-01-12 00:00:00,104.141,104.323,103.723,103.754,101319.62998819351,ASK
2021-01-13 00:00:00,103.751,103.99,103.526,103.837,103262.10003888607,ASK
2021-01-14 00:00:00,103.831,104.195,103.565,103.843,113052.96004796028,ASK
2021-01-15 00:00:00,103.843,103.916,103.619,103.882,89155.75015556812,ASK
2021-01-17 00:00:00,103.882,103.928,103.818,103.925,4399.659971728921,ASK
2021-01-18 00:00:00,103.919,103.934,103.639,103.71,90866.0800518319,ASK
2021-01-19 00:00:00,103.708,104.082,103.655,103.904,101330.76001703739,ASK
2021-01-20 00:00:00,103.902,103.929,103.447,103.561,94409.73989379406,ASK
2021-01-21 00:00:00,103.56,103.667,103.33,103.518,98326.57998609543,ASK
2021-01-22 00:00:00,103.512,103.881,103.497,103.844,78022.86003160477,ASK
2021-01-24 00:00:00,103.844,103.853,103.778,103.793,4050.729991197586,ASK
2021-01-25 00:00:00,103.792,103.93,103.674,103.768,85772.99989008904,ASK
2021-01-26 00:00:00,103.767,103.823,103.556,103.606,72246.61997640133,ASK
2021-01-27 00:00:00,103.601,104.198,103.588,104.152,86120.1298583746,ASK
2021-01-28 00:00:00,104.145,104.462,104.137,104.311,90061.19999849796,ASK
2021-01-29 00:00:00,104.303,104.938,104.29,104.757,91516.30995225906,ASK
2021-01-31 00:00:00,104.757,104.82,104.681,104.724,6386.180005311966,ASK
2021-02-01 00:00:00,104.72,105.035,104.61,104.887,68847.03992033005,ASK
