,print_log,optimization_dict,use_strength,strength,datetime_from,datetime_before,one_lot_size,fast_ma_period,slow_ma_period,drawdown_len,drawdown_drawdown,drawdown_moneydown,drawdown_max_len,drawdown_max_drawdown,drawdown_max_moneydown,returns_rtot,returns_ravg,returns_rnorm,returns_rnorm100,sharperatio_sharperatio
0,False,"{'fast_ma_period': 1, 'slow_ma_period': 2}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,2,6147,19.9225791053088,40065.99999999994,6147,20.073244044881218,40368.99999999994,-0.21664906124360478,-3.471940084032128e-05,-3.47187981288992e-05,-0.00347187981288992,None
1,False,"{'fast_ma_period': 1, 'slow_ma_period': 3}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,3,6155,13.693123948345947,27627.99999999994,6155,14.046504481687872,28340.99999999994,-0.13847214951569306,-2.219104960187389e-05,-2.2190803382353965e-05,-0.0022190803382353963,None
2,False,"{'fast_ma_period': 1, 'slow_ma_period': 4}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,4,6155,14.925203456976822,30195.99999999994,6155,15.277623316058307,30908.99999999994,-0.15012836353189174,-2.4059032617290343e-05,-2.405874320108613e-05,-0.0024058743201086133,None
3,False,"{'fast_ma_period': 1, 'slow_ma_period': 5}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,5,6155,11.178140788727791,22578.0,6155,11.498959073389658,23226.0,-0.10866875964523105,-1.7414865327761387e-05,-1.7414713689874447e-05,-0.0017414713689874448,None
4,False,"{'fast_ma_period': 1, 'slow_ma_period': 6}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,6,5894,9.90199500444352,20000.0,5894,10.22281964258749,20648.0,-0.09442332317794279,-1.513194281697801e-05,-1.5131828329708775e-05,-0.0015131828329708775,None
5,False,"{'fast_ma_period': 1, 'slow_ma_period': 7}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,7,5935,10.281427378654728,20749.0,5935,10.53166212858102,21254.0,-0.09948061398849985,-1.5942406087900615e-05,-1.5942279008419996e-05,-0.0015942279008419997,None
6,False,"{'fast_ma_period': 1, 'slow_ma_period': 8}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,8,6155,8.984302196996618,18077.0,6155,9.23528812438962,18582.0,-0.08812381369978592,-1.4122406041632359e-05,-1.412230632092559e-05,-0.001412230632092559,None
7,False,"{'fast_ma_period': 1, 'slow_ma_period': 9}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,9,6155,8.865625459337856,17793.0,6155,9.117249179731585,18298.0,-0.08935867519434308,-1.4320300511913956e-05,-1.4320197976900026e-05,-0.0014320197976900027,None
8,False,"{'fast_ma_period': 1, 'slow_ma_period': 10}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,10,3295,7.34896381501193,14768.0,3295,7.600265733117363,15273.0,-0.07157387799191425,-1.1470172755114464e-05,-1.147010697293446e-05,-0.001147010697293446,None
9,False,"{'fast_ma_period': 1, 'slow_ma_period': 11}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,11,3313,8.682914433906564,17427.0,3313,8.934528124680812,17932.0,-0.08731596882755961,-1.3992943722365322e-05,-1.3992845821584954e-05,-0.0013992845821584954,None
10,False,"{'fast_ma_period': 1, 'slow_ma_period': 12}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,12,3313,7.481286839010881,15047.0,3313,7.732370101701151,15552.0,-0.07213261676116123,-1.1559714224545069e-05,-1.155964741130604e-05,-0.001155964741130604,None
11,False,"{'fast_ma_period': 1, 'slow_ma_period': 13}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,13,5124,8.006299073535796,16320.0,5124,8.254043009328418,16825.0,-0.06443452654519627,-1.0326045920704531e-05,-1.0325992607275859e-05,-0.001032599260727586,None
12,False,"{'fast_ma_period': 1, 'slow_ma_period': 14}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,14,3313,6.623906991574791,13503.0,3313,6.860843011491152,13986.0,-0.04945551046319563,-7.92556257423007e-06,-7.925531167041984e-06,-0.0007925531167041984,None
13,False,"{'fast_ma_period': 1, 'slow_ma_period': 15}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,15,3313,7.1762947592050494,14525.0,3313,7.427773866429516,15034.0,-0.06252721184353814,-1.0020386513387523e-05,-1.0020336309482273e-05,-0.0010020336309482273,None
14,False,"{'fast_ma_period': 1, 'slow_ma_period': 16}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,16,3340,6.672722483574212,13553.0,3340,6.921355616770182,14058.0,-0.0536249579719963,-8.593743264742997e-06,-8.593706338637125e-06,-0.0008593706338637125,None
15,False,"{'fast_ma_period': 1, 'slow_ma_period': 17}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,17,5104,8.061333868049006,16282.0,5104,8.281161422244667,16726.0,-0.07421451629088531,-1.1893351969693158e-05,-1.189328124406301e-05,-0.001189328124406301,None
16,False,"{'fast_ma_period': 1, 'slow_ma_period': 18}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,18,4828,8.12738634549986,16550.0,4828,8.364578345794508,17033.0,-0.06676767051258736,-1.0699947197530026e-05,-1.069988995329918e-05,-0.0010699889953299181,None
17,False,"{'fast_ma_period': 1, 'slow_ma_period': 19}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,19,4828,7.855140244126397,16040.0,4828,8.091675950978832,16523.0,-0.06103798849066761,-9.781728924786477e-06,-9.781681083832087e-06,-0.0009781681083832086,None
18,False,"{'fast_ma_period': 1, 'slow_ma_period': 20}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,20,3295,7.791822284942639,16012.0,3295,8.026861640652562,16495.0,-0.054004862103537936,-8.654625337105439e-06,-8.654587885943618e-06,-0.0008654587885943617,None
19,False,"{'fast_ma_period': 1, 'slow_ma_period': 21}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,21,3295,7.115278140251859,14586.0,3295,7.350893068384428,15069.0,-0.04914035047750051,-7.875056166266108e-06,-7.875025158092694e-06,-0.0007875025158092695,None
20,False,"{'fast_ma_period': 1, 'slow_ma_period': 22}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,22,3295,7.347868233451221,15198.0,3295,7.562531577026188,15642.0,-0.0427117999114641,-6.8448397294012985e-06,-6.844816303539287e-06,-0.0006844816303539287,None
21,False,"{'fast_ma_period': 1, 'slow_ma_period': 23}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,23,3295,6.890544668441063,14200.0,3295,7.124920237092967,14683.0,-0.0414497957128573,-6.6425954668040545e-06,-6.642573404815637e-06,-0.0006642573404815638,None
22,False,"{'fast_ma_period': 1, 'slow_ma_period': 24}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,24,3295,6.417397071602679,13256.0,3295,6.632343080941212,13700.0,-0.03403518129337615,-5.454355976502588e-06,-5.4543411015300736e-06,-0.0005454341101530074,None
23,False,"{'fast_ma_period': 1, 'slow_ma_period': 25}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,25,3295,6.580700820057305,13654.0,3295,6.794691677249736,14098.0,-0.03132814159966368,-5.0205355127666145e-06,-5.0205229098992886e-06,-0.0005020522909899289,None
24,False,"{'fast_ma_period': 1, 'slow_ma_period': 26}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,26,3295,5.9678295181667895,12364.0,3295,6.182138504422536,12808.0,-0.026274675892814826,-4.2106852392331455e-06,-4.210676374310496e-06,-0.00042106763743104963,None
25,False,"{'fast_ma_period': 1, 'slow_ma_period': 27}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,27,3295,5.905990908277145,12206.0,3295,6.200661436143832,12815.0,-0.028062597114885346,-4.497211076103421e-06,-4.497200963664849e-06,-0.0004497200963664849,None
26,False,"{'fast_ma_period': 1, 'slow_ma_period': 28}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,28,3366,6.036757512568486,12434.0,3366,6.271255974734369,12917.0,-0.032846074405081416,-5.263793975173304e-06,-5.263780121434105e-06,-0.0005263780121434105,None
27,False,"{'fast_ma_period': 1, 'slow_ma_period': 29}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,29,3366,6.577458612259929,13574.0,3366,6.811502557281408,14057.0,-0.03667695126064044,-5.877716548179557e-06,-5.87769927443749e-06,-0.000587769927443749,None
28,False,"{'fast_ma_period': 1, 'slow_ma_period': 30}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,30,3366,6.078383245320068,12506.0,3366,6.3131392910173005,12989.0,-0.034387014321191435,-5.510739474549909e-06,-5.510724290453022e-06,-0.0005510724290453022,None
29,False,"{'fast_ma_period': 1, 'slow_ma_period': 31}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,31,3366,6.5549089718178015,13410.0,3366,6.791003008610344,13893.0,-0.04515689748366922,-7.236682289049554e-06,-7.2366561043274414e-06,-0.0007236656104327441,None
30,False,"{'fast_ma_period': 1, 'slow_ma_period': 32}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,32,3366,6.322637465300671,12994.0,3366,6.557656235174476,13477.0,-0.03810953074518462,-6.107296593779586e-06,-6.10727794428171e-06,-0.000610727794428171,None
31,False,"{'fast_ma_period': 1, 'slow_ma_period': 33}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,33,3366,6.417070444444988,13118.0,3366,6.634266608291121,13562.0,-0.04444573986169768,-7.122714721425911e-06,-7.122689354953635e-06,-0.0007122689354953635,None
32,False,"{'fast_ma_period': 1, 'slow_ma_period': 34}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,34,3366,6.223215311613034,12728.0,3366,6.440304217832093,13172.0,-0.04188245244038133,-6.711931480830341e-06,-6.711908955868635e-06,-0.0006711908955868636,None
33,False,"{'fast_ma_period': 1, 'slow_ma_period': 35}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,35,3366,5.70609787949725,11688.0,3366,5.922859297917577,12132.0,-0.03487357566210526,-5.588714048414305e-06,-5.5886984315810395e-06,-0.0005588698431581039,None
34,False,"{'fast_ma_period': 1, 'slow_ma_period': 36}",False,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,36,3366,5.874431461300264,12018.0,3366,6.09145988273622,12462.0,-0.03789139708551703,-6.0723392765251655e-06,-6.072320839910339e-06,-0.0006072320839910338,None
