,print_log,optimization_dict,one_lot_size,datetime_from,datetime_before,drawdown_len,drawdown_drawdown,drawdown_moneydown,drawdown_max_len,drawdown_max_drawdown,drawdown_max_moneydown,returns_rtot,returns_ravg,returns_rnorm,returns_rnorm100,sharperatio_sharperatio
0,False,"{'datetime_from': datetime.datetime(2016, 1, 1, 0, 0), 'datetime_before': datetime.datetime(2016, 3, 31, 0, 0), 'kwargs': {}}",100000,2016-01-01 00:00:00,2016-03-31 00:00:00,826,0.23603500250192222,483.5,826,2.641053492317254,5409.999999999971,0.021560884577084185,1.4212844151011329e-05,1.421294515395927e-05,0.0014212945153959271,None
1,False,"{'datetime_from': datetime.datetime(2016, 1, 2, 0, 0), 'datetime_before': datetime.datetime(2016, 4, 1, 0, 0), 'kwargs': {}}",100000,2016-01-02 00:00:00,2016-04-01 00:00:00,12,0.12552005518007864,257.5,834,2.641053492317254,5409.999999999971,0.024151002531485322,1.56722923630664e-05,1.567241517408193e-05,0.0015672415174081931,None
2,False,"{'datetime_from': datetime.datetime(2016, 1, 3, 0, 0), 'datetime_before': datetime.datetime(2016, 4, 2, 0, 0), 'kwargs': {}}",100000,2016-01-03 00:00:00,2016-04-02 00:00:00,11,0.14539379312193793,298.5000000000291,834,2.641053492317254,5409.999999999971,0.024721880454746412,1.5827068152846616e-05,1.582719340155055e-05,0.001582719340155055,None
3,False,"{'datetime_from': datetime.datetime(2016, 1, 4, 0, 0), 'datetime_before': datetime.datetime(2016, 4, 3, 0, 0), 'kwargs': {}}",100000,2016-01-04 00:00:00,2016-04-03 00:00:00,11,0.14524169239415238,298.5,834,2.638284383648489,5410.0,0.02577008069356762,1.649813104581794e-05,1.6498267140730378e-05,0.0016498267140730377,None
4,False,"{'datetime_from': datetime.datetime(2016, 1, 5, 0, 0), 'datetime_before': datetime.datetime(2016, 4, 4, 0, 0), 'kwargs': {}}",100000,2016-01-05 00:00:00,2016-04-04 00:00:00,14,0.09311462337201358,191.5,834,2.6364715141679884,5410.0,0.02697780442749984,1.723821369169319e-05,1.7238362270552573e-05,0.0017238362270552573,None
5,False,"{'datetime_from': datetime.datetime(2016, 1, 6, 0, 0), 'datetime_before': datetime.datetime(2016, 4, 5, 0, 0), 'kwargs': {}}",100000,2016-01-06 00:00:00,2016-04-05 00:00:00,38,0.121286655320756,250.5,834,2.625276903629045,5410.0,0.03094134123954865,1.9472209716518974e-05,1.9472399301225137e-05,0.0019472399301225136,None
6,False,"{'datetime_from': datetime.datetime(2016, 1, 7, 0, 0), 'datetime_before': datetime.datetime(2016, 4, 6, 0, 0), 'kwargs': {}}",100000,2016-01-07 00:00:00,2016-04-06 00:00:00,62,0.2092572700534176,431.5,834,2.629487687338847,5410.0,0.02846111262203119,1.764483113579119e-05,1.764498680673969e-05,0.0017644986806739692,None
7,False,"{'datetime_from': datetime.datetime(2016, 1, 8, 0, 0), 'datetime_before': datetime.datetime(2016, 4, 7, 0, 0), 'kwargs': {}}",100000,2016-01-08 00:00:00,2016-04-07 00:00:00,10,0.08226313952267851,168.5,834,2.6474769446843562,5409.999999999971,0.023042471368110783,1.4076036266408542e-05,1.4076135334271857e-05,0.0014076135334271857,None
8,False,"{'datetime_from': datetime.datetime(2016, 1, 9, 0, 0), 'datetime_before': datetime.datetime(2016, 4, 8, 0, 0), 'kwargs': {}}",100000,2016-01-09 00:00:00,2016-04-08 00:00:00,19,0.40017286295726084,819.4999999999709,834,2.6508237888160715,5410.0,0.01964084950497619,1.182471372966658e-05,1.1824783641869539e-05,0.0011824783641869539,None
9,False,"{'datetime_from': datetime.datetime(2016, 1, 10, 0, 0), 'datetime_before': datetime.datetime(2016, 4, 9, 0, 0), 'kwargs': {}}",100000,2016-01-10 00:00:00,2016-04-09 00:00:00,40,0.22047351754142533,451.4999999999709,834,2.6508237888160715,5410.0,0.02144343729365175,1.2748773658532551e-05,1.2748854924492796e-05,0.0012748854924492796,None
